tick,L,b,e_flux,v_coupling,total_q,total_sq,reaction_l1
1061,32,1,495088,68.7333,5,27871,3522
1061,32,2,192691,10.1578,5,92399,2060
1061,32,4,99852.9,37.6547,5,543689,814
1062,32,1,494841,-21.6655,-66,27794,3581
1062,32,2,192896,2.29239,-66,92048,2091
1062,32,4,100352,-91.3536,-66,539866,867
1063,32,1,495922,134.292,-59,27835,3501
1063,32,2,194033,143.814,-59,92089,2103
1063,32,4,100383,169.102,-59,541677,839
1064,32,1,495667,86.0781,11,27805,3612
1064,32,2,194169,-21.2527,11,92073,2116
1064,32,4,99638.7,7.3561,11,537067,854
1065,32,1,496354,272.795,50,27890,3459
1065,32,2,193652,36.62,50,92354,2039
1065,32,4,99898.1,104.737,50,539290,843
1066,32,1,492368,84.8866,28,27812,3698
1066,32,2,192650,1.41125,28,92728,2158
1066,32,4,99249.5,150.947,28,539346,788
1067,32,1,490625,-107.573,32,27878,3468
1067,32,2,191843,-11.1256,32,93030,2056
1067,32,4,99300.2,11.2833,32,539678,802
1068,32,1,490807,120.302,82,27956,3478
1068,32,2,192639,151.588,82,93176,2030
1068,32,4,99671.5,130.201,82,538582,766
1069,32,1,492865,-36.4299,88,28018,3390
1069,32,2,192866,17.3282,88,92940,1968
1069,32,4,99324.1,103.341,88,538182,822
1070,32,1,494962,76.8301,118,28014,3418
1070,32,2,193896,105.409,118,93594,2068
1070,32,4,99637.6,-69.7204,118,540622,824
1071,32,1,494171,224.821,35,27901,3475
1071,32,2,193144,112.374,35,93161,2011
1071,32,4,99233.9,85.091,35,540321,863
1072,32,1,497314,169.974,-6,27906,3413
1072,32,2,193588,154.07,-6,92370,2073
1072,32,4,99727.1,34.747,-6,538252,843
1073,32,1,500135,113.611,106,27950,3488
1073,32,2,193722,47.9052,106,92552,2028
1073,32,4,100114,76.3462,106,543540,836
1074,32,1,499180,173.245,88,27754,3550
1074,32,2,193424,126.568,88,92242,2080
1074,32,4,100475,61.5328,88,542196,810
1075,32,1,501217,168.391,91,27721,3557
1075,32,2,194432,30.233,91,93017,2145
1075,32,4,100858,98.6852,91,545513,891
1076,32,1,503071,53.1863,112,27702,3549
1076,32,2,195579,-48.9662,112,93380,2113
1076,32,4,101230,-27.4417,112,549020,843
1077,32,1,499533,3.60444,95,27927,3527
1077,32,2,194018,46.7445,95,93631,2069
1077,32,4,100959,109.162,95,548757,853
1078,32,1,500895,179.259,136,28040,3519
1078,32,2,194024,81.6545,136,93796,2109
1078,32,4,100955,173.179,136,547988,883
1079,32,1,499322,110.062,86,27960,3432
1079,32,2,193832,127.48,86,93388,2060
1079,32,4,100680,90.9754,86,548812,808
1080,32,1,498453,63.7534,101,27913,3449
1080,32,2,194111,69.9492,101,93015,2105
1080,32,4,100376,140.976,101,544597,897
1081,32,1,499905,42.4261,119,27943,3462
1081,32,2,194068,68.9406,119,92663,2086
1081,32,4,100486,163.504,119,541359,846
1082,32,1,498067,45.8933,148,27976,3441
1082,32,2,194215,56.2659,148,92676,2073
1082,32,4,100460,87.7602,148,542284,793
1083,32,1,499123,144.229,128,27966,3428
1083,32,2,194598,121.734,128,92980,2054
1083,32,4,100116,88.1217,128,542230,828
1084,32,1,498889,18.1185,186,27986,3524
1084,32,2,195007,50.2496,186,92984,2028
1084,32,4,99656.2,154.331,186,543018,866
1085,32,1,497191,-14.4255,201,27931,3513
1085,32,2,195406,-58.9134,201,91901,2085
1085,32,4,99919.6,-70.5563,201,536865,825
1086,32,1,495567,190.864,201,28007,3436
1086,32,2,194622,174.976,201,91845,2066
1086,32,4,100208,234.363,201,536609,846
1087,32,1,492741,76.4291,190,27916,3553
1087,32,2,193840,-44.9137,190,92274,2059
1087,32,4,99991.9,-77.324,190,541396,859
1088,32,1,492479,46.4196,164,27816,3556
1088,32,2,194195,5.69737,164,92436,2070
1088,32,4,100178,103.451,164,542404,804
1089,32,1,492153,160.678,152,27834,3474
1089,32,2,194142,52.6098,152,92300,2104
1089,32,4,100168,143.671,152,540854,858
1090,32,1,490631,148.447,163,27861,3433
1090,32,2,194433,144.758,163,92091,2021
1090,32,4,100860,96.4885,163,540757,831
1091,32,1,490816,6.32941,142,27824,3605
1091,32,2,194428,-34.8762,142,91848,2135
1091,32,4,100857,23.4079,142,540014,865
1092,32,1,491503,111.228,154,27862,3488
1092,32,2,194407,55.6164,154,92612,2152
1092,32,4,100789,-38.4121,154,544700,862
1093,32,1,490937,-57.717,172,27866,3470
1093,32,2,194302,84.0826,172,92554,2012
1093,32,4,100948,-27.8321,172,548392,800
