backend,L,orientation,direction,stage,tick,transported_events,annihilation_pairs,reaction_sites,reaction_l1,current_l1,transport_residual,curl_l1,curl_divergence,gauss_residual,total_state,radius,boundary_flux,divergence_sum,telescope_residual,plateau,valid
wsl2_gcc_cpu,32,1,+x,moving,12,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,1.1102230246251565e-15,0,4,0.99999999999999933,0.99999999999999933,0,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,13,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.2212453270876722e-15,0,2,0.99999999999999944,0.99999999999999933,1.1102230246251565e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,13,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.2212453270876722e-15,0,3,0.99999999999999933,0.99999999999999922,1.1102230246251565e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,13,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.2212453270876722e-15,0,4,0.99999999999999922,0.999999999999999,2.2204460492503131e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,14,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.2212453270876722e-15,0,2,0.99999999999999933,0.99999999999999967,-3.3306690738754696e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,14,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.2212453270876722e-15,0,3,0.99999999999999933,0.99999999999999956,-2.2204460492503131e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,14,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.2212453270876722e-15,0,4,0.99999999999999911,0.99999999999999933,-2.2204460492503131e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,15,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.3322676295501878e-15,0,2,0.99999999999999933,0.99999999999999922,1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,15,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.3322676295501878e-15,0,3,0.99999999999999922,0.99999999999999911,1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,15,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.3322676295501878e-15,0,4,0.999999999999999,0.99999999999999889,1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,16,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.4432899320127035e-15,0,2,0.99999999999999922,0.99999999999999911,1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,16,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.4432899320127035e-15,0,3,0.99999999999999911,0.999999999999999,1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,16,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.4432899320127035e-15,0,4,0.99999999999999889,0.99999999999999878,1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,17,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.5543122344752192e-15,0,2,0.99999999999999911,0.99999999999999911,0,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,17,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.5543122344752192e-15,0,3,0.999999999999999,0.999999999999999,0,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,17,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.5543122344752192e-15,0,4,0.99999999999999878,0.99999999999999878,0,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,18,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.6653345369377348e-15,0,2,0.999999999999999,0.999999999999999,0,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,18,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.6653345369377348e-15,0,3,0.99999999999999889,0.99999999999999889,0,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,18,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.6653345369377348e-15,0,4,0.99999999999999878,0.99999999999999867,1.1102230246251565e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,19,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.6653345369377348e-15,0,2,0.99999999999999889,0.999999999999999,-1.1102230246251565e-16,2.2204460492503131e-16,1
