L,direction,amplitude,polarity,tick,packet_centroid,directed_probe_distance,force_x,force_longitudinal,max_leading_force,integrated_longitudinal_force,valid
49,-1,1,-1,22,24.143898064775225,0.14389806477522527,4.5657050281102706e-21,-4.5657050281102706e-21,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,23,23.678752171383419,-0.32124782861658119,-1.3992385914519927e-19,1.3992385914519927e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,24,23.212807950662121,-0.78719204933787879,4.532624363499856e-19,-4.532624363499856e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,25,22.746186228567058,-1.2538137714329416,-2.8102781928968537e-20,2.8102781928968537e-20,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,26,22.279005532882909,-1.7209944671170909,-6.252983387933666e-20,6.252983387933666e-20,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,27,21.811389036245064,-2.188610963754936,-2.1411054082727167e-19,2.1411054082727167e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,28,21.343462814029731,-2.6565371859702687,-1.8590559011440478e-19,1.8590559011440478e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,29,20.875350441859325,-3.1246495581406748,1.3373922177949163e-19,-1.3373922177949163e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,30,20.407199172240357,-3.5928008277596426,-3.6127242091172458e-19,3.6127242091172458e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,31,19.939191614083111,-4.0608083859168893,2.3258574784282658e-19,-2.3258574784282658e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,32,19.471485977387317,-4.5285140226126828,-9.4180062964790524e-19,9.4180062964790524e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,1,1,33.638702278242008,9.6387022782420075,2.9106864347287051e-21,-2.9106864347287051e-21,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,2,33.182137240669228,9.1821372406692277,1.8267207984338092e-21,-1.8267207984338092e-21,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,3,32.792110272700448,8.7921102727004481,1.2841956520901722e-21,-1.2841956520901722e-21,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,4,32.404379930685707,8.4043799306857068,3.0787002715349388e-21,-3.0787002715349388e-21,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,5,31.929807845217795,7.9298078452177947,1.7864257233659221e-20,-1.7864257233659221e-20,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,6,31.399125190272581,7.3991251902725814,3.0031094982286909e-20,-3.0031094982286909e-20,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,7,30.92560766349516,6.9256076634951604,6.89379662545439e-20,-6.89379662545439e-20,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,8,30.525928246363424,6.5259282463634243,1.0491639690051454e-19,-1.0491639690051454e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,9,30.117024867376195,6.1170248673761947,3.4389506836061209e-20,-3.4389506836061209e-20,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,10,29.659697986281511,5.6596979862815111,1.1067377546460622e-19,-1.1067377546460622e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,11,29.186080946434966,5.1860809464349664,2.3839442942420788e-19,-2.3839442942420788e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,12,28.727737750291293,4.7277377502912934,1.5709415935609569e-19,-1.5709415935609569e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,13,28.279838995262402,4.2798389952624021,2.6388450602001603e-20,-2.6388450602001603e-20,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,14,27.828370232016059,3.8283702320160593,4.0976082554521377e-19,-4.0976082554521377e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,15,27.371545262015605,3.371545262015605,6.2007587607452726e-19,-6.2007587607452726e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,16,26.913197656923906,2.9131976569239058,4.0525124480002636e-19,-4.0525124480002636e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,17,26.45448359939104,2.4544835993910397,-1.161324162238849e-19,1.161324162238849e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,18,25.994728845696077,1.994728845696077,3.9245536294236319e-19,-3.9245536294236319e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,19,25.533662558788762,1.5336625587887625,3.4835954874433962e-19,-3.4835954874433962e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,20,25.071425603442762,1.0714256034427621,4.7848520517782679e-19,-4.7848520517782679e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,21,24.608146698507241,0.60814669850724101,2.082916941496867e-19,-2.082916941496867e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,22,24.143898064775225,0.14389806477522527,-4.5657050281102706e-21,4.5657050281102706e-21,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,23,23.678752171383419,-0.32124782861658119,1.3992385914519927e-19,-1.3992385914519927e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,24,23.212807950662121,-0.78719204933787879,-4.532624363499856e-19,4.532624363499856e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,25,22.746186228567058,-1.2538137714329416,2.8102781928968537e-20,-2.8102781928968537e-20,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,26,22.279005532882909,-1.7209944671170909,6.252983387933666e-20,-6.252983387933666e-20,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,27,21.811389036245064,-2.188610963754936,2.1411054082727167e-19,-2.1411054082727167e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,28,21.343462814029731,-2.6565371859702687,1.8590559011440478e-19,-1.8590559011440478e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,29,20.875350441859325,-3.1246495581406748,-1.3373922177949163e-19,1.3373922177949163e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,30,20.407199172240357,-3.5928008277596426,3.6127242091172458e-19,-3.6127242091172458e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,31,19.939191614083111,-4.0608083859168893,-2.3258574784282658e-19,2.3258574784282658e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
49,-1,1,1,32,19.471485977387317,-4.5285140226126828,9.4180062964790524e-19,-9.4180062964790524e-19,1.0491639690051454e-19,-4.6538302268752599e-18,1
