arm,L,direction,amplitude,tick,activity,centroid_x,displacement,width_x,core_fraction,leading_fraction,trailing_fraction,normalized_divergence,exact_tick_energy,relative_energy_drift,best_shift,overlap,explained_fraction,leading_excess_fraction,trailing_excess_fraction,bound_clause,trailing_wake_clause,symmetric_dispersion_clause,valid
localized_finite,65,1,0.5,12,4.0185335555224979,27.762070888974169,5.3575991638434886,2.613256242354133,0.97659270121643327,0.010365856653390595,0.013041442130217944,2.2465527323289458e-16,3.703324682318061,9.368465499443993e-18,4,0.91309942566832525,0.76484310589994142,0.0098443955057410763,0.0089041421988083833,0,0,0,1
localized_finite,65,1,0.5,16,4.0238635999676999,29.561296143140741,7.1568244180100606,2.8539085771975063,0.97621027831418905,0.007950018228235857,0.01583970345759636,2.5682929107541853e-16,3.703324682318061,1.7565872811457489e-18,7,0.95471693334073315,0.8352161293708853,0.0056311375459635561,0.012134191585532406,0,0,0,1
localized_finite,65,1,0.5,20,4.023961391150177,31.38253924208226,8.9780675169515796,3.1282322476166997,0.97465799038248258,0.0068728867976385142,0.018469122819951066,2.9577890223919464e-16,3.703324682318061,7.8460898557843447e-18,9,0.9815053635494575,0.88298544560424608,0.0045540061153662124,0.014295764592193068,0,0,0,1
localized_finite,65,1,0.5,24,4.0239626569482363,33.218649859538523,10.814178134407843,3.4353075443687788,0.97009096020820307,0.006951914726867698,0.0229571250650254,3.129072956213337e-16,3.703324682318061,4.0401507466352225e-18,11,0.96930263493964908,0.85212618976297994,0.0046330340445953954,0.018783766837267398,0,0,0,1
localized_finite,65,1,0.5,28,4.0239630874291024,35.068656172122971,12.664184446992291,3.7677546210323509,0.96291719084125127,0.0078105557774482016,0.029272253381435125,3.3325095272754009e-16,3.703324682318061,1.7097449536485288e-17,13,0.94333607022886756,0.81137152982153005,0.0054916750951758964,0.02509889515367713,0,0,0,1
localized_finite,65,1,0.5,32,4.0239629842783069,36.930164509520829,14.525692784390149,4.1148834141088022,0.94848976625505343,0.027922974104444432,0.023587259640668001,3.6149724764819867e-16,3.703324682318061,1.6980343717742239e-17,15,0.918273277888495,0.77497110753369014,0.011240901291125987,0.023112573721730027,0,0,0,1
localized_finite,65,1,1,0,16.352078980271614,22.40447172513068,0,2.307011450116025,0.99350776108997474,0.0023188806822723035,0.0041733582277579985,2.0507051522043438e-17,14.813298729272244,0,0,1,1,0,0,0,0,0,1
localized_finite,65,1,1,4,16.688004154404997,24.096453541281409,1.6919818161507294,2.3472047582098634,0.99125254027038878,0.0033480939130865403,0.0053993658165152874,1.5276859010325292e-16,14.813298729272244,4.2040988928754922e-17,2,0.93207204693276702,0.82023202541422036,0.0011905633366627148,0.0012388488905108823,0,0,0,1
localized_finite,65,1,1,8,16.042181403034064,25.97211577895915,3.5676440538284702,2.4360260089790722,0.97658858927691972,0.013747340546890559,0.0096640701762090928,1.9202618682867445e-16,14.813298729272244,2.1957341014321859e-17,5,0.90803750731987576,0.75067003406327959,9.2680847333553458e-12,0.0093537671079834111,0,0,0,1
localized_finite,65,1,1,12,16.074134222089992,27.762070888974169,5.3575991638434886,2.613256242354133,0.97659270121643327,0.010365856653390595,0.013041442130217944,2.2465527323289458e-16,14.813298729272244,9.368465499443993e-18,4,0.91309942566832525,0.76484310589994142,0.0098443955057410763,0.0089041421988083833,0,0,0,1
localized_finite,65,1,1,16,16.0954543998708,29.561296143140741,7.1568244180100606,2.8539085771975063,0.97621027831418905,0.007950018228235857,0.01583970345759636,2.5682929107541853e-16,14.813298729272244,1.7565872811457489e-18,7,0.95471693334073315,0.8352161293708853,0.0056311375459635561,0.012134191585532406,0,0,0,1
localized_finite,65,1,1,20,16.095845564600708,31.38253924208226,8.9780675169515796,3.1282322476166997,0.97465799038248258,0.0068728867976385142,0.018469122819951066,2.9577890223919464e-16,14.813298729272244,7.8460898557843447e-18,9,0.9815053635494575,0.88298544560424608,0.0045540061153662124,0.014295764592193068,0,0,0,1
localized_finite,65,1,1,24,16.095850627792945,33.218649859538523,10.814178134407843,3.4353075443687788,0.97009096020820307,0.006951914726867698,0.0229571250650254,3.129072956213337e-16,14.813298729272244,4.0401507466352225e-18,11,0.96930263493964908,0.85212618976297994,0.0046330340445953954,0.018783766837267398,0,0,0,1
localized_finite,65,1,1,28,16.095852349716409,35.068656172122971,12.664184446992291,3.7677546210323509,0.96291719084125127,0.0078105557774482016,0.029272253381435125,3.3325095272754009e-16,14.813298729272244,1.7097449536485288e-17,13,0.94333607022886756,0.81137152982153005,0.0054916750951758964,0.02509889515367713,0,0,0,1
localized_finite,65,1,1,32,16.095851937113228,36.930164509520829,14.525692784390149,4.1148834141088022,0.94848976625505343,0.027922974104444432,0.023587259640668001,3.6149724764819867e-16,14.813298729272244,1.6980343717742239e-17,15,0.918273277888495,0.77497110753369014,0.011240901291125987,0.023112573721730027,0,0,0,1
s0_vacuum_photon,49,1,1,0,15.016817723023898,12.103451031705063,0,3.727937745691762,0.94471043107922026,0.015958044493121642,0.039331524427187424,0,14.812099493005425,0,0,1,1,0,0,1,0,0,1
s0_vacuum_photon,49,1,1,4,14.995229348729373,14.38721264252138,2.2837616108163168,3.7281997109723539,0.94884553299124763,0.023199524431297056,0.02795494257759917,3.741490694466078e-17,14.812099493005443,1.1945175025039891e-15,2,0.99007055547177414,0.92374222374771464,0.0072414799381754101,6.7064852047191045e-07,1,0,0,1
s0_vacuum_photon,49,1,1,8,15.023190106785318,16.65534418893429,4.5518931572292267,3.729649847413659,0.94791810039531832,0.032641399544652359,0.019440500060513045,5.1301377930922032e-17,14.812099493005432,5.6420295782273329e-16,5,0.97987859139937983,0.89447866508570129,9.9373420969245495e-11,0.0074610056203168037,1,0,0,1
s0_vacuum_photon,49,1,1,12,15.010474844806897,18.934079920207715,6.8306288885026518,3.7312142493734402,0.94201833595122508,0.044863390054100116,0.013118273994490804,6.033798730581966e-17,14.812099493005425,4.8661407156273099e-17,7,0.99789267657235914,0.96582661122532698,1.0788461452417758e-05,0.0011387795542945607,1,0,0,1
s0_vacuum_photon,49,1,1,16,15.011806457684697,21.209532062351595,9.1060810306465321,3.7329861238031796,0.9478253928281436,0.021239199947335124,0.030935407224819408,6.8753631576191835e-17,14.812099493005425,5.7972073507473369e-18,9,0.99640256217261036,0.95418627495067454,0.0052811554542134846,7.7096885365408302e-05,1,0,0,1
s0_vacuum_photon,49,1,1,20,15.012165514799442,23.485239140092201,11.381788108387138,3.7355574345855196,0.94877652191091288,0.029866116492585946,0.021357361597254248,8.3616566113340441e-17,14.812099493005412,7.4678571054627063e-16,11,0.97558889406713556,0.88069282864128573,0.013908071999464306,6.4850053591546027e-05,1,0,0,1
s0_vacuum_photon,49,1,1,24,15.012163107769926,25.761180516559357,13.657729484854293,3.7366110738561313,0.9447863087798738,0.041002084979940699,0.014211606239924545,8.6248486684887872e-17,14.812099493005421,2.5630683408304134e-16,14,0.99147765686718214,0.93151929559269109,8.4647684358570414e-05,0.0022615745604012811,1,0,0,1
s0_vacuum_photon,49,1,1,28,15.012780985033091,28.037364033133066,15.933913001428003,3.7364186196628308,0.94604407551397673,0.019652032031511439,0.034303892454208992,9.3619433178279391e-17,14.812099493005416,5.2391529461753962e-16,16,0.99835931278840839,0.97160880469280597,0.0036939875383897912,2.0654206628042738e-06,1,0,0,1
s0_vacuum_photon,49,1,1,32,15.012551382475801,30.312514153854437,18.209063122149374,3.7353486709990018,0.94902609923781067,0.027390120809790142,0.023583779952549216,9.2909911926445434e-17,14.812099493005421,2.2345599242880646e-16,18,0.98576656424503017,0.90894261707202351,0.011432076316668502,2.9424629593397171e-08,1,0,0,1
s0_vacuum_photon,65,1,1,0,26.424846084623155,16.103558448350295,0,3.7279380261438018,0.94471042260083893,0.015958044349904388,0.039331533050306441,0,26.064605378433424,0,0,1,1,0,0,1,0,0,1
s0_vacuum_photon,65,1,1,4,26.386854275174006,18.388009238063542,2.2844507897132473,3.728196555066821,0.94884563608611794,0.023199526951993232,0.027954836961806933,3.2758226786955894e-17,26.064605378433463,1.3994468744017741e-15,2,0.99007055547123701,0.92374227822919319,0.0072414826020888402,5.6143790151133662e-07,1,0,0,1
s0_vacuum_photon,65,1,1,8,26.436061989765918,20.657185354098704,4.5536269057484091,3.7296496967045032,0.94791800128809356,0.032641396131012489,0.019440602580899559,4.5044158997061662e-17,26.064605378433427,9.0980352751568223e-17,5,0.97987859139746092,0.89447861365964565,9.8472497364502446e-11,0.0074610992721093608,1,0,0,1
s0_vacuum_photon,65,1,1,12,26.413674440768645,22.936580895635228,6.8330224472849324,3.7312001923188576,0.94201869076496392,0.04486338675554679,0.013117922479531353,5.2936909828456389e-17,26.064605378433431,1.6199427841793493e-16,7,0.9978926766048789,0.96582680143021393,1.076832257675632e-05,0.0011384191707411574,1,0,0,1
s0_vacuum_photon,65,1,1,16,26.416031939999083,25.21278971862413,9.1092312702738347,3.733021889184827,0.94782523734664648,0.021237201137555853,0.030937561515228293,6.3439838854160978e-17,26.064605378433431,1.9580409494887617e-16,9,0.9964025621208209,0.95418623529172997,0.0052791567876514702,7.9221211982524991e-05,1,0,0,1
