k,d,l,m,A_N,R_N,lambda_max,log_psi,hits_1e-03,hits_1e-04,hits_1e-05,hits_1e-06,alpha_inv_rel_residual
2,4,2,7,-4.3823694989293223e-5,1.000011972226060649150941,137.036134695641264714975,1.0462081795801826e-5,1,1,1,1,9.896059588e-7
2,4,2,8,-5.843159331905763e-5,0.9999973643277308847434372,137.0361798661822130717462,1.3949442394402434e-5,1,1,1,0,1.319231322e-6
2,4,3,2,5.8349755932963323e-5,1.000114145676982905696609,137.035818754060835769306,-1.393641757000304e-5,1,1,1,0,1.315931145e-6
2,4,3,3,5.830883723991617e-5,1.00011410475828985854318,137.0358188805902511896735,-1.3929905157803343e-5,1,1,1,0,1.315007815e-6
2,4,3,4,5.8267918546869016e-5,1.000114063839596811389751,137.0358190071196663711109,-1.3923392745603646e-5,1,1,1,0,1.314084485e-6
2,4,3,5,5.8226999853821863e-5,1.000114022920903764236322,137.0358191336490813136181,-1.3916880333403948e-5,1,1,1,0,1.313161156e-6
2,4,3,6,5.8186081160774709e-5,1.000113982002210717082893,137.0358192601784960171952,-1.3910367921204251e-5,1,1,1,0,1.312237826e-6
2,4,3,7,5.8145162467727556e-5,1.000113941083517669929464,137.0358193867079104818421,-1.3903855509004554e-5,1,1,1,0,1.311314496e-6
2,4,3,8,5.8104243774680403e-5,1.000113900164824622776035,137.035819513237324707559,-1.3897343096804857e-5,1,1,1,0,1.310391166e-6
2,4,4,2,5.8431389550219145e-5,1.00011422731060016151872,137.0358185016321013682623,-1.3949418071289015e-5,1,1,1,0,1.317773206e-6
2,4,4,3,5.8431287665799903e-5,1.000114227208715742276347,137.0358185019471499465009,-1.3949405909732305e-5,1,1,1,0,1.317770907e-6
2,4,4,4,5.8431185781380661e-5,1.000114227106831323033974,137.035818502262198524738,-1.3949393748175596e-5,1,1,1,0,1.317768608e-6
2,4,4,5,5.8431083896961418e-5,1.000114227004946903791601,137.0358185025772471029737,-1.3949381586618886e-5,1,1,1,0,1.317766309e-6
2,4,4,6,5.8430982012542176e-5,1.000114226903062484549228,137.0358185028922956812079,-1.3949369425062176e-5,1,1,1,0,1.31776401e-6
2,4,4,7,5.8430880128122933e-5,1.000114226801178065306855,137.0358185032073442594405,-1.3949357263505467e-5,1,1,1,0,1.317761711e-6
2,4,4,8,5.8430778243703691e-5,1.000114226699293646064482,137.0358185035223928376717,-1.3949345101948757e-5,1,1,1,0,1.317759412e-6
2,4,5,2,5.8431592843399335e-5,1.000114227513893341708013,137.0358185010034750497245,-1.3949442348980413e-5,1,1,1,0,1.317777794e-6
2,4,5,3,5.8431592605570187e-5,1.000114227513655512560286,137.0358185010042104686965,-1.3949442326269402e-5,1,1,1,0,1.317777788e-6
2,4,5,4,5.8431592367741039e-5,1.000114227513417683412559,137.0358185010049458876684,-1.3949442303558391e-5,1,1,1,0,1.317777783e-6
2,4,5,5,5.8431592129911891e-5,1.000114227513179854264832,137.0358185010056813066403,-1.3949442280847381e-5,1,1,1,0,1.317777778e-6
2,4,5,6,5.8431591892082744e-5,1.000114227512942025117105,137.0358185010064167256123,-1.394944225813637e-5,1,1,1,0,1.317777772e-6
2,4,5,7,5.8431591654253596e-5,1.000114227512704195969378,137.0358185010071521445842,-1.3949442235425359e-5,1,1,1,0,1.317777767e-6
2,4,5,8,5.8431591416424448e-5,1.000114227512466366821651,137.0358185010078875635562,-1.3949442212714349e-5,1,1,1,0,1.317777761e-6
2,4,6,2,5.8431593317991712e-5,1.000114227514367934085915,137.0358185010020075078274,-1.3949442394317611e-5,1,1,1,0,1.317777804e-6
2,4,6,3,5.8431593317458754e-5,1.000114227514367401127139,137.0358185010020091558508,-1.39494423942752e-5,1,1,1,0,1.317777804e-6
2,4,6,4,5.8431593316925795e-5,1.000114227514366868168363,137.0358185010020108038742,-1.3949442394232788e-5,1,1,1,0,1.317777804e-6
2,4,6,5,5.8431593316392836e-5,1.000114227514366335209587,137.0358185010020124518975,-1.3949442394190377e-5,1,1,1,0,1.317777804e-6
2,4,6,6,5.8431593315859877e-5,1.000114227514365802250811,137.0358185010020140999209,-1.3949442394147965e-5,1,1,1,0,1.317777804e-6
2,4,6,7,5.8431593315326919e-5,1.000114227514365269292035,137.0358185010020157479443,-1.3949442394105554e-5,1,1,1,0,1.317777804e-6
2,4,6,8,5.843159331479396e-5,1.000114227514364736333259,137.0358185010020173959677,-1.3949442394063142e-5,1,1,1,0,1.317777804e-6
2,4,7,2,5.8431593319055308e-5,1.00011422751436899768117,137.0358185010020042189617,-1.3949442394402276e-5,1,1,1,0,1.317777804e-6
2,4,7,3,5.8431593319054147e-5,1.000114227514368996520022,137.0358185010020042225522,-1.3949442394402197e-5,1,1,1,0,1.317777804e-6
2,4,7,4,5.8431593319052985e-5,1.000114227514368995358873,137.0358185010020042261427,-1.3949442394402117e-5,1,1,1,0,1.317777804e-6
2,4,7,5,5.8431593319051824e-5,1.000114227514368994197725,137.0358185010020042297332,-1.3949442394402038e-5,1,1,1,0,1.317777804e-6
2,4,7,6,5.8431593319050663e-5,1.000114227514368993036577,137.0358185010020042333238,-1.3949442394401959e-5,1,1,1,0,1.317777804e-6
2,4,7,7,5.8431593319049502e-5,1.000114227514368991875428,137.0358185010020042369143,-1.394944239440188e-5,1,1,1,0,1.317777804e-6
2,4,7,8,5.8431593319048341e-5,1.00011422751436899071428,137.0358185010020042405048,-1.3949442394401801e-5,1,1,1,0,1.317777804e-6
2,4,8,2,5.8431593319057625e-5,1.00011422751436899999851,137.035818501002004211796,-1.3949442394402434e-5,1,1,1,0,1.317777804e-6
2,4,8,3,5.8431593319057623e-5,1.000114227514368999996032,137.0358185010020042118036,-1.3949442394402434e-5,1,1,1,0,1.317777804e-6
2,4,8,4,5.843159331905762e-5,1.000114227514368999993554,137.0358185010020042118113,-1.3949442394402434e-5,1,1,1,0,1.317777804e-6
2,4,8,5,5.8431593319057618e-5,1.000114227514368999991076,137.035818501002004211819,-1.3949442394402433e-5,1,1,1,0,1.317777804e-6
2,4,8,6,5.8431593319057615e-5,1.000114227514368999988598,137.0358185010020042118266,-1.3949442394402433e-5,1,1,1,0,1.317777804e-6
2,4,8,7,5.8431593319057613e-5,1.000114227514368999986119,137.0358185010020042118343,-1.3949442394402433e-5,1,1,1,0,1.317777804e-6
2,4,8,8,5.843159331905761e-5,1.000114227514368999983641,137.0358185010020042118419,-1.3949442394402433e-5,1,1,1,0,1.317777804e-6
