x,z,density,Jx,Jy,Jz,state
20,13,1.06178318e-01,-6.27597390e-02,4.56717941e-03,-8.55230456e-02,0
20,14,3.58769454e-02,-3.23012582e-02,1.18114659e-02,1.02114252e-02,0
20,15,4.10173573e-02,3.12632939e-02,7.09138018e-03,-2.55879342e-02,0
20,16,5.40986734e-02,5.26929832e-02,1.22492825e-02,2.66584072e-04,0
20,17,4.12107031e-02,3.12617210e-02,6.53702344e-03,2.60440813e-02,0
20,18,3.62572709e-02,-3.28160425e-02,1.18835538e-02,-9.82233144e-03,0
20,19,1.06638726e-01,-6.28708457e-02,2.00630164e-03,8.61106814e-02,0
20,20,1.02436962e-01,3.44322243e-02,4.72861435e-03,9.63607453e-02,0
20,21,5.41083712e-02,5.28306252e-02,3.97547253e-03,1.09925651e-02,0
20,22,4.55576556e-02,3.44920186e-02,-9.76841401e-03,-2.81136750e-02,0
20,23,4.40265146e-02,4.29128157e-02,3.34917396e-03,-9.25242005e-03,0
20,24,2.90115155e-02,2.69740495e-02,5.45312539e-03,9.18325175e-03,0
20,25,1.61920879e-02,1.52479008e-02,-3.56896728e-03,4.11675898e-03,0
20,26,3.45402502e-02,3.42297518e-02,-3.30046090e-03,3.23418196e-03,0
20,27,4.21431314e-02,4.21361662e-02,2.74179695e-04,-7.15434703e-04,0
20,28,2.40278536e-02,2.39907713e-02,1.29094373e-03,-3.37788059e-04,0
20,29,1.63007471e-02,1.61352058e-02,6.77243182e-04,-2.21604007e-03,0
20,30,1.14648787e-02,-1.11784148e-02,2.10912003e-03,1.42762014e-03,0
20,31,4.59943965e-02,-4.59050359e-02,1.00866528e-03,2.68231062e-03,0
21,0,3.64554508e-02,-3.64544204e-02,-2.73461000e-04,-1.87032826e-05,0
21,1,3.48810057e-02,-3.48345130e-02,1.08506256e-03,-1.43662894e-03,0
21,2,2.24030689e-02,-2.18173715e-02,2.11193793e-03,-4.63028227e-03,0
21,3,2.34154325e-03,1.59230901e-03,1.54897622e-03,-7.40303629e-04,0
21,4,2.30293163e-02,2.28707808e-02,1.01674734e-04,2.69563653e-03,0
21,5,3.71369879e-02,3.68203561e-02,-2.82610512e-03,3.92815195e-03,0
21,6,3.98647218e-02,3.93767270e-02,-1.66040466e-03,5.99270150e-03,0
21,7,3.46878275e-02,3.46189972e-02,1.78441136e-03,1.25947715e-03,0
21,8,2.43493716e-02,2.26734018e-02,1.09529707e-03,-8.80960113e-03,0
21,9,1.87227837e-02,1.76270100e-02,-3.36530203e-03,-5.33909086e-03,0
21,10,5.62048686e-02,3.25789078e-02,-4.95021023e-03,4.55312798e-02,0
21,11,4.86214199e-02,4.62394595e-02,-2.05837190e-04,-1.50303858e-02,0
21,12,2.75086589e-01,4.89695372e-02,1.94235161e-03,-2.70685875e-01,-1
21,13,1.01630199e-01,-4.09793823e-02,-1.38569614e-03,-9.29917601e-02,0
21,14,4.46067801e-02,-2.42186374e-03,2.10087355e-02,3.92750867e-02,0
21,15,4.38317854e-02,4.29800133e-02,-2.29315188e-04,8.59600368e-03,0
21,16,6.62125956e-02,6.41081599e-02,1.65600311e-02,-1.30419952e-04,0
21,17,4.40648522e-02,4.31330623e-02,-1.61761077e-04,-9.01243386e-03,0
21,18,4.42885130e-02,-3.27772290e-03,2.13084253e-02,-3.86869477e-02,0
21,19,1.01626444e-01,-3.96882887e-02,-4.61137502e-03,9.34425439e-02,0
21,20,2.75266844e-01,4.90201782e-02,8.15023204e-04,2.70865636e-01,-1
21,21,4.76376994e-02,4.51074285e-02,3.06637024e-03,1.50089198e-02,0
21,22,5.62337804e-02,3.25225453e-02,-4.14007408e-03,-4.56878746e-02,0
