x,y,density,Jx,Jy,Jz,state
15,5,4.17274127e-03,-1.25812695e-03,-3.97855329e-03,1.17382594e-19,0
15,6,6.14243153e-03,-1.92139710e-03,-5.83418360e-03,-1.79492326e-19,0
15,7,9.11334262e-03,-2.99375772e-03,-8.60757971e-03,8.86979527e-19,0
15,8,1.35323541e-02,-4.70064702e-03,-1.26897016e-02,1.06420903e-18,0
15,9,1.99529511e-02,-7.17380745e-03,-1.86187203e-02,-1.96250287e-19,0
15,10,2.73728976e-02,-6.21671029e-03,-2.66576075e-02,-2.75324482e-18,0
15,11,3.10892092e-02,2.00490887e-02,-2.37607443e-02,-3.96721354e-08,0
15,12,1.06011926e-01,9.22446719e-02,5.22441286e-02,-1.25284676e-06,0
15,13,2.50797644e-01,1.14245347e-01,2.23265444e-01,-1.33677099e-05,0
15,14,3.08595200e-01,-8.13439565e-02,2.97681297e-01,-5.86477189e-05,0
15,15,3.60737383e-01,-3.34903994e-01,1.34055065e-01,-1.17030100e-04,0
15,16,3.56382075e-01,-3.56379586e-01,1.32859401e-03,-9.33147302e-05,0
15,17,3.56329108e-01,-3.29649706e-01,-1.35283052e-01,1.46464301e-05,0
15,18,3.11090166e-01,-9.33461535e-02,-2.96755096e-01,1.75899555e-05,0
15,19,2.51676453e-01,1.00733669e-01,-2.30637735e-01,4.75521039e-06,0
15,20,1.05357604e-01,9.01061230e-02,-5.45995541e-02,5.07894896e-07,0
15,21,2.88406705e-02,1.79441936e-02,2.25785338e-02,1.80889119e-08,0
15,22,2.70178527e-02,-7.67751088e-03,2.59040575e-02,-2.40264399e-19,0
15,23,1.98759107e-02,-7.97136317e-03,1.82073940e-02,2.40139202e-19,0
15,24,1.34823514e-02,-5.23983495e-03,1.24224767e-02,-7.28728280e-19,0
15,25,9.07041406e-03,-3.34359284e-03,8.43165453e-03,-3.90213564e-19,0
15,26,6.10860096e-03,-2.15838439e-03,5.71457632e-03,1.96060686e-19,0
15,27,4.14899427e-03,-1.41417415e-03,3.90054674e-03,6.49691092e-21,0
15,28,2.78457734e-03,-9.43772191e-04,2.61976431e-03,9.31576241e-20,0
15,29,1.82031025e-03,-6.44927929e-04,1.70223305e-03,6.55070824e-20,0
15,30,1.11650114e-03,-4.61263711e-04,1.01676477e-03,6.55030742e-20,0
15,31,5.91989701e-04,-3.59075504e-04,4.70655488e-04,2.18898273e-20,0
16,0,9.98351131e-07,7.88002460e-07,-6.12990296e-07,2.86681344e-20,0
16,1,5.14113995e-04,1.09927419e-05,-5.13996458e-04,6.12153689e-22,0
16,2,1.09967057e-03,2.31017933e-05,-1.09942788e-03,5.76189659e-20,0
16,3,1.84014987e-03,3.90825458e-05,-1.83973479e-03,1.73701261e-19,0
16,4,2.84041206e-03,6.15964005e-05,-2.83974410e-03,4.05529563e-19,0
16,5,4.24259618e-03,9.61793185e-05,-4.24150585e-03,9.01162292e-20,0
16,6,6.28370563e-03,1.46898969e-04,-6.28198831e-03,-5.44539232e-20,0
16,7,9.30788147e-03,2.31642525e-04,-9.30499862e-03,-8.10182505e-19,0
16,8,1.40842752e-02,3.53266728e-04,-1.40798441e-02,-6.73379879e-19,0
16,9,2.12437413e-02,5.62017767e-04,-2.12363057e-02,-1.83583914e-18,0
16,10,3.28569313e-02,8.78536185e-04,-3.28451840e-02,5.05911272e-19,0
16,11,4.31805041e-02,1.53543279e-03,-4.31531966e-02,-7.76970186e-18,0
16,12,3.26857083e-03,2.40746188e-03,-2.21081038e-03,-3.73016443e-08,0
16,13,1.45798900e-01,4.00760351e-03,1.45743811e-01,-9.77467308e-07,0
16,14,2.80908532e-01,9.42166388e-03,2.80750487e-01,-8.04200691e-06,0
16,15,1.96908668e-01,3.94797727e-03,1.96869084e-01,-2.54624205e-05,0
16,16,4.07156568e-03,3.92626680e-03,1.07722917e-03,-4.06618531e-05,0
16,17,1.96148539e-01,3.40932157e-03,-1.96118906e-01,-2.54546434e-05,0
16,18,2.81460113e-01,-4.30868288e-03,-2.81427132e-01,-8.03784347e-06,0
16,19,1.46353537e-01,-1.49583871e-03,-1.46345893e-01,-9.76764153e-07,0
16,20,2.17601643e-03,-1.02763012e-03,1.91807816e-03,-3.72660612e-08,0
16,21,4.30607479e-02,-8.59677597e-04,4.30521656e-02,8.50451739e-19,0
16,22,3.27848887e-02,-4.82699194e-04,3.27813350e-02,3.64607420e-18,0
16,23,2.12183946e-02,-3.55149508e-04,2.12154222e-02,5.18985892e-19,0
16,24,1.40575384e-02,-2.29092604e-04,1.40556715e-02,3.95689339e-19,0
16,25,9.29289855e-03,-1.62687826e-04,9.29147438e-03,-2.17622777e-19,0
16,26,6.27113814e-03,-1.07286530e-04,6.27022035e-03,7.16175259e-20,0
16,27,4.23439452e-03,-7.42469183e-05,4.23374354e-03,1.14564043e-19,0
16,28,2.83489207e-03,-4.96521948e-05,2.83445722e-03,1.05058351e-19,0
16,29,1.83660826e-03,-3.26692967e-05,1.83631768e-03,-2.61600589e-20,0
16,30,1.09745670e-03,-1.96720816e-05,1.09728038e-03,-7.11863706e-20,0
16,31,5.12613944e-04,-8.99056793e-06,5.12535097e-04,-5.96909922e-20,0
17,0,3.22393049e-04,3.22255389e-04,9.42031687e-06,-2.20874471e-20,0
17,1,5.93542394e-04,3.61100259e-04,-4.71061754e-04,6.03457030e-20,0
17,2,1.11778036e-03,4.64886457e-04,-1.01652029e-03,6.80638380e-20,0
17,3,1.82156757e-03,6.51783264e-04,-1.70096649e-03,5.99328914e-20,0
17,4,2.78593084e-03,9.56762179e-04,-2.61648940e-03,-4.36265250e-20,0
17,5,4.15040503e-03,1.43821443e-03,-3.89325072e-03,9.52751201e-20,0
