backend_label,actual_backend,L,seed,dx,dy,dz,n,tick,omega,tau,target_transition,phase_error,initial_source_real,initial_source_imag,initial_occupancy,initial_signed_state,source_before_real,source_before_imag,expected_loss_real,expected_loss_imag,predicted_next_real,predicted_next_imag,source_after_real,source_after_imag,source_hazard,expected_removals,removal_variance,actual_removed,occupancy_before,occupancy_after,signed_state_after,eligible_sites,mean_site_probability,min_site_probability,max_site_probability,mean_local_energy,max_local_energy,plane_closure_rel,history_evaporation,history_other,history_required,history_enabled,toggles_valid,structural_valid,execution_valid
windows_msvc_cpu,cpu,48,0,1,0,0,1,38,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.013497640208616952,-0.21101404329743589,4.1961803492167346e-05,-0.000673519091728309,0.013455678405124785,-0.21034052420570759,0.013462394268128099,-0.21032627856891728,0.0031914829729638664,75.34379297846553,72.513641701958477,77,49375,49298,44,49375,0.0015259502375385423,1.1114038004497475e-89,0.069518428688167155,23.558925508579055,51.742686454742596,0,77,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,39,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.013462394268115668,-0.21032627856903019,4.2800758252376655e-05,-0.00068942290848811175,0.013419593509863291,-0.20963685566054208,0.013433190246665939,-0.20968209663091014,0.0032774711047766176,77.14298528546253,74.096116223081481,72,49298,49226,38,49298,0.0015648299177545241,1.4456264062316639e-88,0.071979137828789286,22.919854241364401,51.087221103792103,0,72,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,40,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.013433190246653326,-0.20968209663102255,4.427233156157017e-05,-0.00070838838648321317,0.013388917915091756,-0.20897370824453934,0.013395865837018645,-0.20897700515035256,0.0033780544957669636,79.322496025521787,76.147638897906788,79,49226,49147,47,49226,0.0016113943043416445,6.0804537450743776e-87,0.07506264172881276,22.04020667559309,50.131905973581198,0,79,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,41,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.013395865837005782,-0.20897700515046447,4.6001955327188263e-05,-0.0007368414600435483,0.013349863881678595,-0.20824016369042092,0.013352559746007412,-0.20814756293695696,0.0035255690656069974,82.609260928376159,79.362952993061768,93,49147,49054,46,49147,0.0016808607021461363,3.7752250856377503e-83,0.079391615940409124,20.923177946375567,47.900511394129794,4.8679266848752906e-15,93,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,42,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.013352559745994291,-0.20814756293706851,4.6157682181341322e-05,-0.00075651316621623359,0.01330640206381295,-0.20739104977085229,0.013315175098685066,-0.20745198179593174,0.0036337759642684187,84.927448663758469,81.679610967852497,78,49054,48976,26,49054,0.0017313052689639677,3.3492116722079238e-78,0.073482139270284144,19.593017734905139,44.989644048875263,0,78,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,43,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.013315175098671698,-0.20745198179604293,4.6794770819850758e-05,-0.00077735069113080569,0.013268380327851848,-0.20667463110491213,0.013272110649437714,-0.20652537977530266,0.0037461806507132983,87.353183271760557,83.986388109644906,104,48976,48872,18,48976,0.0017835916218507137,3.6890615387508447e-71,0.080886355014285705,18.08567725183789,40.846909370448387,0,104,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,1,1,0,0,1,0,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.041666666666667712,-0.6357104870107374,0.0041504190709353711,-0.063323158293195736,0.037516247595732341,-0.57238732871754161,0.037326500176508598,-0.57294575809115511,0.099610057702455609,10740.600192126692,9690.3557669441871,10710,110592,99882,-120,110592,0.097119142362256702,0.070982009395745213,0.10000000000000001,0.0085135779917164239,0.087568230771977076,0,10710,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,1,1,0,0,1,1,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.037326500176509111,-0.57294575809099413,0.0035092426046097807,-0.053941264992536569,0.03381725757189933,-0.51900449309845753,0.033171046668826372,-0.5185776715368855,0.09414668572222766,8676.1416228792932,7875.1121843908995,8756,99882,91126,-56,99882,0.086863915649259063,0.016751031132163526,0.10000000000000001,0.053021877717737434,0.45648994374651014,0,8756,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,1,1,0,0,1,2,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.03317104666882803,-0.51857767153652901,0.0028693729192111228,-0.045039493917417808,0.030301673749616908,-0.47353817761911121,0.03056860019587361,-0.47290777006968565,0.08685054823199205,6940.9843861706931,6339.5445227921628,7023,91126,84103,17,91126,0.076169088801996063,0.0013315146066796195,0.099942716149988259,0.13805232522986255,1.1034317803448301,0,7023,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,1,1,0,0,1,3,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.030568600195876157,-0.47290777006940748,0.0024774612337350758,-0.038634366604764298,0.02809113896214108,-0.43427340346464316,0.027448751586095901,-0.43443074777425805,0.081692649617912144,5744.2160385141724,5265.4528513798423,5685,84103,78418,-116,84103,0.068299775733495507,4.2616022228039227e-05,0.099072208416839488,0.26486186301441711,1.9827943934373851,0,5685,0,1,1,1,1,1
