backend_label,actual_backend,L,seed,tick,x,plane_loss_real,plane_loss_imag
wsl2_cuda,gpu,96,0,82,74,-1.6471927359454411e-06,-1.2511670998508595e-05
wsl2_cuda,gpu,96,0,82,75,-2.5675614587633977e-06,-1.2908003120101543e-05
wsl2_cuda,gpu,96,0,82,76,-2.094936710895388e-06,-7.8184102437028378e-06
wsl2_cuda,gpu,96,0,82,77,-1.1434729537849698e-06,-3.3685626971178912e-06
wsl2_cuda,gpu,96,0,82,78,-4.6591747449749138e-07,-1.1248242858784648e-06
wsl2_cuda,gpu,96,0,82,79,-1.028045880216966e-07,-2.0846708211214514e-07
wsl2_cuda,gpu,96,0,82,80,-1.1485096946868779e-08,-1.9892771441830942e-08
wsl2_cuda,gpu,96,0,82,81,-1.1116885886409868e-09,-1.6637595480495672e-09
wsl2_cuda,gpu,96,0,82,82,-8.2195981890493389e-11,-1.0711988914528737e-10
wsl2_cuda,gpu,96,0,82,83,-9.5117177500782902e-13,-1.0846035385737419e-12
wsl2_cuda,gpu,96,0,82,84,-8.1383946602490048e-15,-8.1383946602490079e-15
wsl2_cuda,gpu,96,0,82,85,-4.6093764688223355e-17,-4.042314672229853e-17
wsl2_cuda,gpu,96,0,82,86,-4.3451015491407751e-20,-3.3341136841649e-20
wsl2_cuda,gpu,96,0,82,87,-2.4144162509874104e-24,-1.6132613619549859e-24
wsl2_cuda,gpu,96,0,82,88,-1.4412195818304547e-29,-8.3208851353117556e-30
wsl2_cuda,gpu,96,0,82,89,-5.1773428856201815e-35,-2.5531829630393e-35
wsl2_cuda,gpu,96,0,82,90,-1.3971547017013353e-41,-5.787204261780279e-42
wsl2_cuda,gpu,96,0,82,91,-1.8638924717414845e-50,-6.3270623759603186e-51
wsl2_cuda,gpu,96,0,82,92,-4.5184473287630607e-64,-1.2107143127846243e-64
wsl2_cuda,gpu,96,0,82,93,-1.1033299901010457e-80,-2.1946598033197349e-81
wsl2_cuda,gpu,96,0,82,94,-3.6687041284392405e-100,-4.8299406141822019e-101
wsl2_cuda,gpu,96,0,82,95,-4.1252687146998037e-116,-2.7038439660479583e-117
wsl2_cuda,gpu,96,1,82,0,3.4355153762670828e-117,0
wsl2_cuda,gpu,96,1,82,1,1.5350811666548851e-100,-1.0061453536501686e-101
wsl2_cuda,gpu,96,1,82,2,1.6080149014529125e-81,-2.1169917793402599e-82
wsl2_cuda,gpu,96,1,82,3,2.4720157523997356e-64,-4.9171450550963796e-65
wsl2_cuda,gpu,96,1,82,4,6.3367122962018088e-51,-1.6979169424356331e-51
wsl2_cuda,gpu,96,1,82,5,9.0985988446066864e-42,-3.0885581274911419e-42
wsl2_cuda,gpu,96,1,82,6,4.3513344508798085e-35,-1.8023817439757018e-35
wsl2_cuda,gpu,96,1,82,7,1.3110916272653486e-29,-6.4655883909384427e-30
wsl2_cuda,gpu,96,1,82,8,2.4596077463617406e-24,-1.4200551944628358e-24
wsl2_cuda,gpu,96,1,82,9,3.5889582472293699e-20,-2.398065233182953e-20
wsl2_cuda,gpu,96,1,82,10,4.1938723252406859e-17,-3.2180714192952523e-17
wsl2_cuda,gpu,96,1,82,11,7.6213725762093488e-15,-6.6837643650340657e-15
wsl2_cuda,gpu,96,1,82,12,9.8859274880653237e-13,-9.8859274880653216e-13
wsl2_cuda,gpu,96,1,82,13,8.16536848214614e-11,-9.3108182792969443e-11
wsl2_cuda,gpu,96,1,82,14,1.4354050297925066e-09,-1.8706562551294842e-09
wsl2_cuda,gpu,96,1,82,15,1.4861180761207787e-08,-2.2241328767237033e-08
wsl2_cuda,gpu,96,1,82,16,1.1494818337233147e-07,-1.9909609383862227e-07
wsl2_cuda,gpu,96,1,82,17,5.6950682085453986e-07,-1.1548455907576184e-06
wsl2_cuda,gpu,96,1,82,18,1.4894675975550399e-06,-3.5958928747326369e-06
wsl2_cuda,gpu,96,1,82,19,2.8355138611020103e-06,-8.3531544738793492e-06
wsl2_cuda,gpu,96,1,82,20,3.9583279596813264e-06,-1.4772681058551142e-05
wsl2_cuda,gpu,96,1,82,21,2.6477258198529586e-06,-1.3311016578468057e-05
wsl2_cuda,gpu,96,1,82,22,1.1011391537720593e-06,-8.3639822559468028e-06
wsl2_cuda,gpu,96,1,82,23,2.4135345866212891e-07,-3.6823421939497492e-06
wsl2_cuda,gpu,96,1,82,24,2.4920655770353265e-22,-4.0698519422422863e-06
wsl2_cuda,gpu,96,1,82,25,-6.2904562234958038e-07,-9.5973815744647366e-06
wsl2_cuda,gpu,96,1,82,26,-1.691567927873168e-06,-1.2848734045096594e-05
wsl2_cuda,gpu,96,1,82,27,-2.8058370613770821e-06,-1.410589546713138e-05
wsl2_cuda,gpu,96,1,82,28,-2.1046794653941815e-06,-7.854770698497991e-06
wsl2_cuda,gpu,96,1,82,29,-1.173297543226252e-06,-3.4564231044114958e-06
wsl2_cuda,gpu,96,1,82,30,-4.8920774500331523e-07,-1.1810519728049636e-06
wsl2_cuda,gpu,96,1,82,31,-9.8068115035046566e-08,-1.9886246502227799e-07
wsl2_cuda,gpu,96,1,82,32,-1.1735653068676982e-08,-2.0326747374950145e-08
wsl2_cuda,gpu,96,1,82,33,-1.2187930574396116e-09,-1.8240527132608148e-09
wsl2_cuda,gpu,96,1,82,34,-7.7992874575573284e-11,-1.0164229304770893e-10
wsl2_cuda,gpu,96,1,82,35,-8.924633586823214e-13,-1.0176594199993844e-12
wsl2_cuda,gpu,96,1,82,36,-6.0153488673685837e-15,-6.0153488673685837e-15
wsl2_cuda,gpu,96,1,82,37,-3.0421774969336321e-17,-2.6679180610570119e-17
wsl2_cuda,gpu,96,1,82,38,-2.5438763601138538e-20,-1.9519849851970474e-20
wsl2_cuda,gpu,96,1,82,39,-1.2499866275992016e-24,-8.3521436224657273e-25
wsl2_cuda,gpu,96,1,82,40,-1.271187930036485e-29,-7.3392069359716606e-30
wsl2_cuda,gpu,96,1,82,41,-4.1023781383857414e-35,-2.0230690147957493e-35
wsl2_cuda,gpu,96,1,82,42,-1.1386386386845383e-41,-4.7163956678517336e-42
wsl2_cuda,gpu,96,1,82,43,-1.2672756688841998e-50,-4.3018212295667381e-51
wsl2_cuda,gpu,96,1,82,44,-7.9553771436488056e-64,-2.1316368811257167e-64
wsl2_cuda,gpu,96,1,82,45,-6.8134245537521723e-81,-1.3552744079495385e-81
wsl2_cuda,gpu,96,1,82,46,-6.7010885000000927e-100,-8.8221503757917991e-101
wsl2_cuda,gpu,96,1,82,47,-2.8413425669203401e-116,-1.8623143088029838e-117
wsl2_cuda,gpu,96,1,82,48,2.2741717547790266e-117,2.7850571602014552e-133
wsl2_cuda,gpu,96,1,82,49,2.894232028116592e-100,-1.8969798931353095e-101
wsl2_cuda,gpu,96,1,82,50,6.3359438896254618e-81,-8.3414283764278827e-82
wsl2_cuda,gpu,96,1,82,51,5.6496091973347942e-64,-1.1237771402117499e-64
wsl2_cuda,gpu,96,1,82,52,1.4351896134081472e-50,-3.845578978982469e-51
wsl2_cuda,gpu,96,1,82,53,1.8961787688543486e-41,-6.436659586539195e-42
wsl2_cuda,gpu,96,1,82,54,5.2719016817372413e-35,-2.1836931760730972e-35
wsl2_cuda,gpu,96,1,82,55,1.0040199440984593e-29,-4.9512784307636204e-30
wsl2_cuda,gpu,96,1,82,56,1.1785908219848667e-24,-6.8045972833738694e-25
wsl2_cuda,gpu,96,1,82,57,2.8684226044592791e-20,-1.916618708824526e-20
wsl2_cuda,gpu,96,1,82,58,3.3111256110149992e-17,-2.5407160419201369e-17
wsl2_cuda,gpu,96,1,82,59,5.8366643812349914e-15,-5.1186172847312809e-15
wsl2_cuda,gpu,96,1,82,60,8.6108683123349941e-13,-8.610868312334983e-13
