arm,L,polarity,tick,source_index,source_x,source_y,source_z,activity,field_norm2,wave_norm2,mean_radius,near_activity,near_fraction,leading_activity,trailing_activity,transverse_activity,leading_fraction,trailing_fraction,transverse_fraction,radial_alignment,signed_source_divergence,manifested_count,max_support_radius,exact_tick_energy,relative_release_energy_drift,movement_events,reaction_events,valid
stationary_minus,65,-1,15,137312,32,32,32,0.01064969938221114,0.017243801951433286,0.0074307820964653829,2.8028935592963364,0.0080555049276318652,0.75640679032569502,0.00028089113824595886,0.0002808911382459626,0.0020324121780876743,0.026375499266688123,0.026375499266688474,0.19084221114095856,0.65169658187165336,0.10321445848175984,1,15,0.0069866614886972354,0,0,0,1
stationary_minus,65,-1,16,137312,32,32,32,0.015258983014981766,0.023968936037377379,0.0064457479411792256,2.3794838727688634,0.012421668983607317,0.81405615114790542,0.00033442319997219406,0.00033442319997219574,0.0021684676314299538,0.021916480255849715,0.021916480255849826,0.14211088834038821,0.8143487226036894,0.14794702843420646,1,16,0.010727677632414518,0,0,0,1
stationary_minus,65,-1,17,137312,32,32,32,0.012248833147312854,0.020504467319190978,0.0062324708174251019,2.8339925721142118,0.0092088969158042999,0.75181830016392592,0.00038509020231165575,0.00038509020231166318,0.0022697558268856902,0.031438929543761214,0.031438929543761825,0.18530384074858827,0.83325277656160346,0.12729681406568949,1,17,0.011756289743713441,0,0,0,1
stationary_minus,65,-1,18,137312,32,32,32,0.0093442331709001503,0.015928115770776498,0.0074374929467277626,3.4570475643646548,0.0062503681910612927,0.66890113685585406,0.00043614681280701651,0.00043614681280702491,0.0022215713542248789,0.046675506146964175,0.046675506146965078,0.2377478508502234,0.79151589196037919,0.077006967975932761,1,18,0.0087262786175451232,0,0,0,1
stationary_minus,65,-1,19,137312,32,32,32,0.0079106811298098705,0.015062927343026401,0.0056190468539218637,4.0902314018082659,0.0045324385112444623,0.57295173915743425,0.00048825774342193184,0.00048825774342193602,0.0024017271317213927,0.061721327836363804,0.061721327836364331,0.30360560516981894,0.71522056938192635,0.074686286500146623,1,19,0.0064791634777016851,0,0,0,1
stationary_minus,65,-1,20,137312,32,32,32,0.012663002976113568,0.019770048706247538,0.0075978099477964521,3.0916976748638518,0.0092895644830497219,0.73359885491401855,0.00053866630314325283,0.0005386663031432705,0.0022961058867775443,0.042538590898173835,0.04253859089817523,0.18132396328964992,0.68402723424561496,0.12038833033309163,1,20,0.0083320800069706449,0,0,0,1
stationary_minus,65,-1,21,137312,32,32,32,0.014182609809295777,0.023073260751273444,0.0058864365156294169,2.9945133507648798,0.010657127014969488,0.75142214009049557,0.00058948086130578112,0.00058948086130580324,0.0023465210717150877,0.04156363809144737,0.041563638091448932,0.16545058372663513,0.76222327886154362,0.14213652430461562,1,21,0.011213032880284477,0,0,0,1
stationary_minus,65,-1,22,137312,32,32,32,0.011178788833567628,0.018600251676187451,0.007011013276286047,3.6299951014627885,0.0074950849902395145,0.67047379656491046,0.00063929364798400779,0.00063929364798401365,0.0024051165473606435,0.057188095911100766,0.057188095911101293,0.21515001161293679,0.83151197117887454,0.10902504271761221,1,22,0.010727681053935191,0,0,0,1
stationary_minus,65,-1,23,137312,32,32,32,0.0088229026266601809,0.015705150145611902,0.0066331941280821875,4.4189516730687535,0.0051271558242699643,0.58111894024277544,0.00068631789427745079,0.00068631789427744906,0.0023231110138353223,0.077788220421202744,0.07778822042120255,0.26330461891481988,0.84668012655853808,0.074578788177438807,1,22,0.0078421366830716509,0,0,0,1
stationary_minus,65,-1,24,137312,32,32,32,0.0093578740267279293,0.016436582072911463,0.006276843769823303,4.4168142149409446,0.0054264191436778821,0.57987734480919084,0.00073322608286166037,0.00073322608286166286,0.0024650027173269691,0.078353916794287076,0.078353916794287354,0.26341482160226098,0.7681848442636986,0.090482796944945598,1,23,0.0070501552464561339,0,0,0,1
empty_control,65,1,0,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,1,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,2,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,3,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,4,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,5,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,6,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,7,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,8,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,9,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,10,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,11,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,12,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,13,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,14,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,15,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,16,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,17,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,18,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,19,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,20,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,21,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,22,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,23,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
empty_control,65,1,24,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
production_moving,65,1,0,137312,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,6,0,1
production_moving,65,1,1,137312,32,32,32,0.012770366987580004,0.010946028846497135,0.010946028846497135,1.1331688528483255,0.012770366987580004,1,0,0,0,0,0,0,1,0.12813681465428156,1,1,0.0054730144232485673,0,6,0,1
production_moving,65,1,2,137312,32,32,32,0.022027193851592967,0.031351588794905377,0.0058108548197453981,1.2214498363682214,0.022027193851592967,1,0,0,0,0,0,0,0.99039510568123801,0.21356135775713592,1,2,0.014594705128662802,0,6,0,1
production_moving,65,1,3,137312,32,32,32,0.013029123071783031,0.023047805518540819,0.005480104900705913,1.3867303694913391,0.013027819675191607,0.99989996283063387,0,0,1.3033965914229349e-06,0,0,0.00010003716936603973,0.9874725167904318,0.15344779038846065,1,3,0.015675794397452706,0,6,0,1
