y,z,J_total_mag2,J_A_mag2,J_B_mag2,classification
2,15,4.11981538e-09,3.33303516e-09,3.33285543e-09,-1
2,16,4.84307054e-09,9.35607980e-09,9.35718513e-09,-1
2,17,3.00192056e-08,9.56285826e-09,9.56250598e-09,-1
2,18,2.84965163e-09,5.50973528e-09,5.50955778e-09,-1
2,19,6.00969732e-11,6.85277578e-09,6.85371223e-09,1
2,20,2.65357070e-09,4.59874562e-09,4.59889522e-09,-1
2,21,3.98647552e-11,4.32824563e-09,4.32788723e-09,1
2,22,1.92623028e-10,1.34885327e-09,1.34890767e-09,0
2,23,1.36504723e-10,7.42687760e-10,7.42784910e-10,0
2,24,1.06659672e-08,9.80445515e-09,9.80464186e-09,-1
2,25,2.75887234e-08,1.49299886e-08,1.49297617e-08,-1
2,26,1.30283160e-08,7.23709863e-09,7.23658514e-09,-1
2,27,1.65419047e-09,5.60204612e-09,5.60210535e-09,-1
2,28,3.21060586e-10,7.77527741e-09,7.77559398e-09,1
2,29,3.11828222e-09,1.71758967e-09,1.71703087e-09,-1
2,30,1.10805868e-09,2.15294794e-09,2.15214993e-09,-1
2,31,4.53179543e-11,5.77271306e-09,5.77212700e-09,1
2,32,8.94145957e-17,8.73379437e-09,8.73358333e-09,1
2,33,4.53269231e-11,5.77268373e-09,5.77260816e-09,1
2,34,1.10800430e-09,2.15266554e-09,2.15316345e-09,-1
2,35,3.11815595e-09,1.71735772e-09,1.71754603e-09,-1
2,36,3.21006895e-10,7.77536126e-09,7.77508109e-09,1
2,37,1.65434096e-09,5.60229298e-09,5.60228985e-09,-1
2,38,1.30288382e-08,7.23711073e-09,7.23766119e-09,-1
2,39,2.75895533e-08,1.49303363e-08,1.49311027e-08,-1
2,40,1.06665470e-08,9.80479667e-09,9.80529715e-09,-1
2,41,1.36568741e-10,7.42670978e-10,7.42454702e-10,0
2,42,1.92699380e-10,1.34872282e-09,1.34878088e-09,0
2,43,3.98348491e-11,4.32822308e-09,4.32909918e-09,1
2,44,2.65336310e-09,4.59882689e-09,4.59799551e-09,-1
2,45,6.00750656e-11,6.85285033e-09,6.85149345e-09,1
2,46,2.84957113e-09,5.50963925e-09,5.51049058e-09,-1
2,47,3.00191725e-08,9.56319638e-09,9.56300928e-09,-1
2,48,4.84316875e-09,9.35669552e-09,9.35443278e-09,-1
2,49,4.11965401e-09,3.33261737e-09,3.33356472e-09,-1
2,50,1.93254300e-09,2.52685994e-08,2.52720702e-08,-1
2,51,9.85396814e-09,3.22746236e-09,3.22736437e-09,-1
2,52,4.26068127e-09,1.73688287e-08,1.73667587e-08,-1
2,53,5.39731934e-09,1.71077685e-08,1.71081079e-08,-1
2,54,2.60413023e-09,3.56084444e-09,3.56169877e-09,-1
2,55,3.47633278e-09,2.31303057e-08,2.31303626e-08,-1
2,56,3.12810172e-08,2.17209180e-08,2.17209451e-08,-1
2,57,3.13108109e-11,2.11189371e-08,2.11195719e-08,1
2,58,5.78116063e-08,1.72896213e-08,1.72902753e-08,-1
2,59,7.29843039e-10,1.27026134e-08,1.27016339e-08,1
2,60,1.02596603e-08,7.07708626e-09,7.07781817e-09,-1
2,61,2.12919831e-08,3.20564488e-08,3.20585279e-08,-1
2,62,9.44063356e-10,6.95650744e-09,6.95544897e-09,-1
2,63,3.64639097e-08,1.33406461e-08,1.33402595e-08,-1
3,0,3.65250358e-17,2.07205701e-08,2.07222111e-08,1
3,1,3.00282222e-09,6.50441393e-09,6.50376797e-09,-1
3,2,2.43546887e-08,3.81262209e-08,3.81254821e-08,-1
3,3,2.45256018e-09,1.42581830e-08,1.42579490e-08,-1
3,4,7.35867210e-08,2.58408947e-08,2.58410127e-08,-1
3,5,2.48515498e-08,7.02852521e-09,7.02862188e-09,-1
3,6,1.01923696e-08,1.20375087e-08,1.20377137e-08,-1
3,7,1.03736336e-08,1.04233648e-08,1.04229569e-08,-1
3,8,4.70641975e-10,7.44441168e-08,7.44431828e-08,1
3,9,5.26409394e-10,1.43492195e-08,1.43490612e-08,1
