y,z,Jx,Jy,Jz,mag,phase,state
52,51,5.15685096e-07,-6.10413773e-05,1.22779989e-04,1.37117618e-04,-1.56234840e+00,0
52,52,1.47748731e-04,5.15250072e-05,7.40442294e-05,1.73109970e-04,3.35546543e-01,0
52,53,-7.27382407e-05,2.73304963e-05,1.90133528e-05,7.99957204e-05,2.78217542e+00,0
52,54,8.93661709e-06,1.54588963e-05,-1.93656467e-05,2.63413909e-05,1.04664372e+00,0
52,55,1.17178478e-05,4.52090810e-05,1.49482213e-04,1.56608113e-04,1.31718493e+00,0
52,56,-1.11111097e-04,-1.17503079e-04,2.48070142e-04,2.96127413e-04,-2.32824208e+00,0
52,57,1.01667005e-04,2.29179577e-04,-1.22753100e-04,2.79155480e-04,1.15326663e+00,0
52,58,3.56370867e-05,5.92032570e-05,2.82008631e-04,2.90351332e-04,1.02894813e+00,0
52,59,1.78172662e-05,-1.74682778e-04,4.26407674e-05,1.80692454e-04,-1.46915001e+00,0
52,60,5.54430816e-05,-1.46379769e-04,-1.17079865e-04,1.95470374e-04,-1.20873163e+00,0
52,61,-2.11528440e-05,-1.13944369e-04,-1.02131700e-04,1.54472153e-04,-1.75434864e+00,0
52,62,1.59352784e-05,1.51587915e-04,-1.17146885e-04,1.92240011e-04,1.46605865e+00,0
52,63,-8.07532022e-05,-2.59783054e-05,1.37284051e-04,1.61378012e-04,-2.83034838e+00,0
53,0,9.62463470e-10,-1.70803534e-09,-3.88508977e-04,3.88508977e-04,-1.05765397e+00,0
53,1,3.84702655e-05,1.25916734e-04,1.13130036e-04,1.73589719e-04,1.27428170e+00,0
53,2,5.05832220e-05,3.22688611e-05,-5.22174195e-05,7.95399312e-05,5.67847613e-01,0
53,3,1.11303959e-04,-3.15693424e-05,-2.21364238e-04,2.49774539e-04,-2.76373286e-01,0
53,4,3.05886750e-05,-3.48801452e-05,-1.22202536e-05,4.79752662e-05,-8.50854354e-01,0
53,5,-1.46856006e-04,3.25043738e-05,-1.43719644e-05,1.51095248e-04,2.92376934e+00,0
53,6,-5.82006593e-05,1.56383644e-04,5.94267235e-04,6.17249307e-04,1.92707999e+00,0
53,7,-8.52177152e-05,-7.26636390e-05,6.14624543e-05,1.27748568e-04,-2.43554342e+00,0
53,8,-8.61463396e-05,-1.26430591e-04,3.20875179e-06,1.53023469e-04,-2.16891098e+00,0
53,9,1.36912427e-04,-1.24934960e-05,3.21898678e-04,3.50028369e-04,-9.09997079e-02,0
53,10,1.34256423e-04,3.43687653e-05,-1.20256125e-04,1.83487151e-04,2.50611557e-01,0
53,11,1.88772604e-05,2.71254388e-05,2.00737412e-05,3.86664645e-05,9.62810765e-01,0
53,12,-3.23029878e-05,-2.73252809e-05,-1.44576027e-04,1.50639907e-04,-2.43948036e+00,0
53,13,-9.66403358e-05,1.11012897e-04,4.65059654e-05,1.54356803e-04,2.28709046e+00,0
53,14,-1.17434915e-04,-4.64920259e-05,-9.30003254e-05,1.56848743e-04,-2.76462911e+00,0
53,15,1.83499245e-05,-8.19499759e-06,-1.41235681e-04,1.42658317e-04,-4.20019314e-01,0
53,16,9.78289141e-05,1.41819090e-04,4.88349570e-05,1.79075414e-04,9.66938793e-01,0
53,17,1.27275430e-04,-5.81408774e-05,-1.32457222e-04,1.92676704e-04,-4.28503896e-01,0
53,18,8.46541898e-06,-1.02117775e-04,8.23965558e-05,1.31487245e-04,-1.48808686e+00,0
53,19,-8.00974755e-05,-3.38569881e-06,8.54686366e-05,1.17183430e-04,-3.09934807e+00,0
53,20,-4.10632713e-05,4.45965439e-05,9.91964054e-05,1.16253907e-04,2.31497013e+00,0
