x,y,z,winding,filament_id,J_mag
16,16,0,6.283185,0,1.92858581e-04
16,20,0,6.283185,0,1.89732748e-04
16,22,0,-6.283185,0,1.32920279e-04
16,41,0,-6.283185,0,1.32920527e-04
16,43,0,6.283185,0,1.89732740e-04
16,47,0,6.283185,0,1.92858495e-04
16,49,0,6.283185,0,9.10044178e-05
16,51,0,-6.283185,0,2.19484736e-04
16,61,0,-6.283185,0,2.77797601e-04
17,0,0,-6.283185,0,2.83785508e-04
17,4,0,6.283185,0,1.34799666e-04
17,8,0,6.283185,0,2.15934961e-04
17,15,0,-6.283185,0,1.10541285e-04
17,18,0,-6.283185,0,1.09506671e-04
17,23,0,6.283185,0,2.15405481e-04
17,28,0,6.283185,0,2.12591907e-04
17,32,0,-6.283185,0,1.79226865e-04
17,35,0,6.283185,0,2.12592206e-04
17,40,0,6.283185,0,2.15405265e-04
17,45,0,-6.283185,0,1.09506708e-04
17,48,0,-6.283185,0,1.10540734e-04
17,55,0,6.283185,0,2.15934827e-04
17,59,0,6.283185,0,1.34799660e-04
18,3,0,-6.283185,0,1.89499405e-04
18,5,0,-6.283185,0,2.80551055e-04
18,7,0,-6.283185,0,2.28502725e-04
18,14,0,6.283185,0,2.19012301e-04
18,16,0,6.283185,0,9.37359467e-05
18,17,0,-6.283185,0,1.37010513e-04
18,20,0,6.283185,0,1.40988920e-04
18,21,0,-6.283185,0,1.68856298e-04
18,31,0,-6.283185,0,2.48764371e-04
18,42,0,-6.283185,0,1.68856196e-04
18,43,0,6.283185,0,1.40989121e-04
18,46,0,-6.283185,0,1.37010081e-04
18,47,0,6.283185,0,9.37353324e-05
18,49,0,6.283185,0,2.19012629e-04
18,56,0,-6.283185,0,2.28502744e-04
18,58,0,-6.283185,0,2.80550917e-04
18,60,0,-6.283185,0,1.89499624e-04
19,2,0,6.283185,0,2.13045509e-04
19,4,0,6.283185,0,2.67133993e-04
19,12,0,6.283185,0,1.17288769e-04
19,13,0,-6.283185,0,1.70421752e-04
19,16,0,-6.283185,0,9.86615999e-05
19,17,0,6.283185,0,1.57402520e-04
19,20,0,6.283185,0,2.17288533e-04
19,43,0,6.283185,0,2.17288426e-04
19,46,0,6.283185,0,1.57402472e-04
19,47,0,-6.283185,0,9.86609674e-05
19,50,0,-6.283185,0,1.70421940e-04
19,51,0,6.283185,0,1.17289061e-04
19,59,0,6.283185,0,2.67133516e-04
19,61,0,6.283185,0,2.13045854e-04
20,7,0,6.283185,0,1.65172696e-04
20,8,0,-6.283185,0,1.82858085e-04
20,10,0,-6.283185,0,1.64518191e-04
20,11,0,6.283185,0,8.32649781e-05
20,13,0,6.283185,0,1.45634150e-04
20,19,0,-6.283185,0,1.72920941e-04
20,32,0,6.283185,0,2.42735938e-04
20,44,0,-6.283185,0,1.72921144e-04
20,50,0,6.283185,0,1.45634264e-04
20,52,0,6.283185,0,8.32650945e-05
20,53,0,-6.283185,0,1.64518125e-04
20,55,0,-6.283185,0,1.82858062e-04
