backend_label,actual_backend,L,arm,dx,dy,dz,base,duty,orientation,n,source_real,source_imag,source_abs,omega,final_tick,samples,z_real,z_imag,z_exact,relative_error,fit_residual,initial_charge,final_charge,state_unchanged,forbidden_toggles_off,valid
windows-msvc-14.44,cpu,32,primary_111,1,1,1,1,2,-1,1,-0.031250000000000111,0.31728657461277932,0.31882178866807515,0.19571770908907202,65,17,0.25544763456825254,7.0265274864399345e-16,0.25544763456825281,1.0865465895795144e-15,7.9806495317557733e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_111,1,1,1,1,2,-1,3,-0.031250000000000097,0.10301744402934229,0.10765294363991482,0.57178367265481389,65,17,0.24864686652844345,1.6127846086290657e-14,0.24864686652849494,2.0706712891992655e-13,4.6649114237250356e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_111,1,1,1,2,2,1,2,0.062500000000000014,-0.31420871825784918,0.32036443096767225,0.38762082949186993,33,17,0.25293770724834391,-3.6529521362046828e-15,0.25293770724831927,9.744277124518077e-14,1.380660173933742e-13,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_111,1,1,1,2,2,-1,2,-0.062500000000000014,0.31420871825784918,0.32036443096767225,0.38762082949186993,33,17,0.25293770724834391,-3.6529521362046828e-15,0.25293770724831927,9.744277124518077e-14,1.380660173933742e-13,0,0,1,1,1
windows-msvc-14.44,cpu,32,amplitude_100,1,0,0,1,1,1,1,0.0625,-0.63457314922559527,0.63764357733618671,0.11324094111196269,111,17,0.25381151634495414,2.0415007690554791e-15,0.25381151634495458,1.749681087151704e-15,1.7380657572604858e-13,0,0,1,1,1
windows-msvc-14.44,cpu,32,amplitude_100,1,0,0,1,1,1,3,0.062499999999999861,-0.20603488805866088,0.21530588727980687,0.3367812122369585,111,17,0.23467868225655222,2.6502662870139167e-14,0.23467868225655983,3.2406129289443562e-14,2.7317728156540608e-13,0,0,1,1,1
windows-msvc-14.44,cpu,32,amplitude_100,1,0,0,1,4,1,1,0.015625,-0.1586432873063929,0.15941089433404082,0.11324094111196269,111,17,0.25381151634494992,2.0189500915133939e-15,0.25381151634495458,1.8371651415092892e-14,6.2438914170062322e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,amplitude_100,1,0,0,1,4,1,3,0.015624999999999925,-0.051508722014661591,0.053826471819948235,0.3367812122369585,111,17,0.23467868225655794,-2.1049064389662707e-14,0.23467868225655983,8.0423970499348989e-15,2.5823693739724373e-13,0,0,1,1,1
windows-msvc-14.44,cpu,32,amplitude_100,1,0,0,2,1,1,2,0.12499999999999999,-0.62841743651560522,0.64072886193525314,0.2257499656675141,56,17,0.24651979507460053,-8.4307728467378612e-15,0.24651979507456417,1.4749243177602116e-13,1.6714433305011128e-13,0,0,1,1,1
windows-msvc-14.44,cpu,32,amplitude_100,1,0,0,2,4,1,2,0.03125,-0.15710435912893206,0.16018221548384345,0.2257499656675141,56,17,0.24651979507456448,1.3843958878500688e-15,0.24651979507456417,1.2384860683482695e-15,7.021596670571023e-14,0,0,1,1,1
