backend_label,actual_backend,L,arm,dx,dy,dz,base,duty,orientation,n,source_real,source_imag,source_abs,omega,final_tick,samples,z_real,z_imag,z_exact,relative_error,fit_residual,initial_charge,final_charge,state_unchanged,forbidden_toggles_off,valid
wsl2-cuda-gcc,gpu,32,primary_111,1,1,1,1,2,1,3,0.031250000000000097,-0.10301744402934229,0.10765294363991483,0.57178367265481389,65,17,0.24864686652844298,1.633513756048551e-14,0.24864686652849494,2.0896477915800675e-13,4.660652258332303e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_111,1,1,1,1,2,-1,1,-0.031250000000000111,0.31728657461277932,0.31882178866807515,0.19571770908907202,65,17,0.25544763456825209,7.1528628638903014e-16,0.25544763456825281,2.8250211329067372e-15,8.236415502223841e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_111,1,1,1,1,2,-1,3,-0.031250000000000097,0.10301744402934229,0.10765294363991483,0.57178367265481389,65,17,0.24864686652844298,1.633513756048551e-14,0.24864686652849494,2.0896477915800675e-13,4.660652258332303e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_111,1,1,1,2,2,1,2,0.062500000000000014,-0.31420871825784918,0.32036443096767225,0.38762082949186993,33,17,0.25293770724834408,-3.7056185838921331e-15,0.25293770724831927,9.8101168348188749e-14,1.3789947583876306e-13,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_111,1,1,1,2,2,-1,2,-0.062500000000000014,0.31420871825784918,0.32036443096767225,0.38762082949186993,33,17,0.25293770724834408,-3.7056185838921331e-15,0.25293770724831927,9.8101168348188749e-14,1.3789947583876306e-13,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,amplitude_100,1,0,0,1,1,1,1,0.0625,-0.63457314922559527,0.63764357733618682,0.11324094111196269,111,17,0.25381151634495575,2.0781597339582049e-15,0.25381151634495458,4.5929128537732229e-15,1.7583433926113194e-13,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,amplitude_100,1,0,0,1,1,1,3,0.062499999999999861,-0.20603488805866088,0.21530588727980687,0.3367812122369585,111,17,0.23467868225655253,2.9908457489096913e-14,0.23467868225655983,3.1105153296071736e-14,2.74900040533168e-13,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,amplitude_100,1,0,0,1,4,1,1,0.015625,-0.1586432873063929,0.15941089433404082,0.11324094111196269,111,17,0.25381151634494975,2.1676384010610764e-15,0.25381151634495458,1.9027781822774781e-14,6.2401017587117773e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,amplitude_100,1,0,0,1,4,1,3,0.015624999999999925,-0.051508722014661591,0.053826471819948235,0.3367812122369585,111,17,0.23467868225655664,-2.1914032323816293e-14,0.23467868225655983,1.3601112657978137e-14,2.5918558019807436e-13,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,amplitude_100,1,0,0,2,1,1,2,0.12499999999999999,-0.62841743651560522,0.64072886193525314,0.2257499656675141,56,17,0.24651979507460053,-8.4947755672608702e-15,0.24651979507456417,1.4749243177602116e-13,1.67083295188135e-13,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,amplitude_100,1,0,0,2,4,1,2,0.03125,-0.15710435912893206,0.16018221548384345,0.2257499656675141,56,17,0.2465197950745644,1.3542909072554109e-15,0.24651979507456417,9.0071714061692324e-16,7.0089192677962815e-14,0,0,1,1,1
