x,z,density,Jx,Jy,Jz,state
1,54,1.21265436e-03,0.00000000e+00,0.00000000e+00,-1.21265436e-03,0
1,55,4.91898991e-04,0.00000000e+00,0.00000000e+00,-4.91898991e-04,0
1,56,3.04576058e-04,0.00000000e+00,0.00000000e+00,-3.04576058e-04,0
1,57,3.40873453e-03,0.00000000e+00,0.00000000e+00,-3.40873453e-03,0
1,58,1.81819465e-03,0.00000000e+00,0.00000000e+00,-1.81819465e-03,0
1,59,9.17525333e-04,0.00000000e+00,0.00000000e+00,-9.17525333e-04,0
1,60,1.21590913e-03,0.00000000e+00,0.00000000e+00,1.21590913e-03,0
1,61,4.71843845e-03,0.00000000e+00,0.00000000e+00,4.71843845e-03,0
1,62,6.70872821e-04,0.00000000e+00,0.00000000e+00,6.70872821e-04,0
1,63,2.04977187e-03,0.00000000e+00,0.00000000e+00,-2.04977187e-03,0
2,0,1.55350690e-03,0.00000000e+00,0.00000000e+00,1.55350690e-03,0
2,1,1.75719858e-04,0.00000000e+00,0.00000000e+00,1.75719858e-04,0
2,2,1.47176004e-03,0.00000000e+00,0.00000000e+00,-1.47176004e-03,0
2,3,8.30327281e-04,0.00000000e+00,0.00000000e+00,-8.30327281e-04,0
2,4,1.16917232e-03,0.00000000e+00,0.00000000e+00,1.16917232e-03,0
2,5,1.50359137e-03,0.00000000e+00,0.00000000e+00,1.50359137e-03,0
2,6,4.44500678e-04,0.00000000e+00,0.00000000e+00,-4.44500678e-04,0
2,7,1.48317054e-03,0.00000000e+00,0.00000000e+00,-1.48317054e-03,0
2,8,5.66990931e-04,0.00000000e+00,0.00000000e+00,-5.66990931e-04,0
2,9,8.81691883e-04,0.00000000e+00,0.00000000e+00,8.81691883e-04,0
2,10,1.36046957e-03,0.00000000e+00,0.00000000e+00,1.36046957e-03,0
2,11,2.46321285e-04,0.00000000e+00,0.00000000e+00,2.46321285e-04,0
2,12,7.71783370e-04,0.00000000e+00,0.00000000e+00,-7.71783370e-04,0
2,13,2.00480455e-04,0.00000000e+00,0.00000000e+00,2.00480455e-04,0
2,14,3.27283123e-04,0.00000000e+00,0.00000000e+00,3.27283123e-04,0
2,15,6.76692282e-05,0.00000000e+00,0.00000000e+00,6.76692282e-05,0
