x,y,density,Jx,Jy,Jz,state
3,6,6.85985021e-04,0.00000000e+00,0.00000000e+00,-6.85985021e-04,0
3,7,9.26649075e-04,0.00000000e+00,0.00000000e+00,-9.26649075e-04,0
3,8,9.02851402e-04,0.00000000e+00,0.00000000e+00,9.02851402e-04,0
3,9,9.92582515e-04,0.00000000e+00,0.00000000e+00,-9.92582515e-04,0
3,10,4.53075104e-04,0.00000000e+00,0.00000000e+00,-4.53075104e-04,0
3,11,7.79605689e-04,0.00000000e+00,0.00000000e+00,-7.79605689e-04,0
3,12,1.25882947e-03,0.00000000e+00,0.00000000e+00,1.25882947e-03,0
3,13,8.93754911e-04,0.00000000e+00,0.00000000e+00,-8.93754911e-04,0
3,14,4.83013029e-04,0.00000000e+00,0.00000000e+00,4.83013029e-04,0
3,15,1.03316904e-03,0.00000000e+00,0.00000000e+00,-1.03316904e-03,0
3,16,1.08693258e-03,0.00000000e+00,0.00000000e+00,-1.08693258e-03,0
3,17,6.66648899e-04,0.00000000e+00,0.00000000e+00,-6.66648899e-04,0
3,18,7.96116156e-04,0.00000000e+00,0.00000000e+00,7.96116156e-04,0
3,19,5.40737865e-04,0.00000000e+00,0.00000000e+00,-5.40737865e-04,0
3,20,1.16055355e-03,0.00000000e+00,0.00000000e+00,-1.16055355e-03,0
3,21,2.88367402e-05,0.00000000e+00,0.00000000e+00,-2.88367402e-05,0
3,22,5.22423330e-04,0.00000000e+00,0.00000000e+00,5.22423330e-04,0
3,23,1.36104408e-03,0.00000000e+00,0.00000000e+00,-1.36104408e-03,0
3,24,7.03986332e-05,0.00000000e+00,0.00000000e+00,-7.03986332e-05,0
3,25,1.00824774e-03,0.00000000e+00,0.00000000e+00,-1.00824774e-03,0
3,26,1.38638992e-04,0.00000000e+00,0.00000000e+00,1.38638992e-04,0
3,27,2.35392135e-04,0.00000000e+00,0.00000000e+00,-2.35392135e-04,0
3,28,6.89721616e-04,0.00000000e+00,0.00000000e+00,-6.89721616e-04,0
3,29,1.78308837e-03,0.00000000e+00,0.00000000e+00,-1.78308837e-03,0
3,30,1.30298691e-03,0.00000000e+00,0.00000000e+00,-1.30298691e-03,0
3,31,1.73025123e-03,0.00000000e+00,0.00000000e+00,-1.73025123e-03,0
3,32,5.63654293e-05,0.00000000e+00,0.00000000e+00,-5.63654293e-05,0
3,33,1.73025123e-03,0.00000000e+00,0.00000000e+00,-1.73025123e-03,0
3,34,1.30298691e-03,0.00000000e+00,0.00000000e+00,-1.30298691e-03,0
3,35,1.78308837e-03,0.00000000e+00,0.00000000e+00,-1.78308837e-03,0
3,36,6.89721616e-04,0.00000000e+00,0.00000000e+00,-6.89721616e-04,0
3,37,2.35392135e-04,0.00000000e+00,0.00000000e+00,-2.35392135e-04,0
3,38,1.38638992e-04,0.00000000e+00,0.00000000e+00,1.38638992e-04,0
3,39,1.00824774e-03,0.00000000e+00,0.00000000e+00,-1.00824774e-03,0
3,40,7.03986332e-05,0.00000000e+00,0.00000000e+00,-7.03986332e-05,0
3,41,1.36104408e-03,0.00000000e+00,0.00000000e+00,-1.36104408e-03,0
3,42,5.22423330e-04,0.00000000e+00,0.00000000e+00,5.22423330e-04,0
3,43,2.88367402e-05,0.00000000e+00,0.00000000e+00,-2.88367402e-05,0
3,44,1.16055355e-03,0.00000000e+00,0.00000000e+00,-1.16055355e-03,0
3,45,5.40737865e-04,0.00000000e+00,0.00000000e+00,-5.40737865e-04,0
3,46,7.96116156e-04,0.00000000e+00,0.00000000e+00,7.96116156e-04,0
3,47,6.66648899e-04,0.00000000e+00,0.00000000e+00,-6.66648899e-04,0
3,48,1.08693258e-03,0.00000000e+00,0.00000000e+00,-1.08693258e-03,0
3,49,1.03316904e-03,0.00000000e+00,0.00000000e+00,-1.03316904e-03,0
3,50,4.83013029e-04,0.00000000e+00,0.00000000e+00,4.83013029e-04,0
3,51,8.93754911e-04,0.00000000e+00,0.00000000e+00,-8.93754911e-04,0
3,52,1.25882947e-03,0.00000000e+00,0.00000000e+00,1.25882947e-03,0
3,53,7.79605689e-04,0.00000000e+00,0.00000000e+00,-7.79605689e-04,0
3,54,4.53075104e-04,0.00000000e+00,0.00000000e+00,-4.53075104e-04,0
3,55,9.92582515e-04,0.00000000e+00,0.00000000e+00,-9.92582515e-04,0
3,56,9.02851402e-04,0.00000000e+00,0.00000000e+00,9.02851402e-04,0
3,57,9.26649075e-04,0.00000000e+00,0.00000000e+00,-9.26649075e-04,0
3,58,6.85985021e-04,0.00000000e+00,0.00000000e+00,-6.85985021e-04,0
3,59,7.43692161e-04,0.00000000e+00,0.00000000e+00,7.43692161e-04,0
3,60,4.42752751e-04,0.00000000e+00,0.00000000e+00,-4.42752751e-04,0
3,61,1.81855310e-03,0.00000000e+00,0.00000000e+00,1.81855310e-03,0
3,62,5.00149050e-04,0.00000000e+00,0.00000000e+00,5.00149050e-04,0
3,63,1.40051702e-03,0.00000000e+00,0.00000000e+00,-1.40051702e-03,0
4,0,2.08500536e-03,0.00000000e+00,0.00000000e+00,2.08500536e-03,0
4,1,2.21066061e-04,0.00000000e+00,0.00000000e+00,-2.21066061e-04,0
4,2,1.90149996e-04,0.00000000e+00,0.00000000e+00,-1.90149996e-04,0
4,3,4.42752751e-04,0.00000000e+00,0.00000000e+00,-4.42752751e-04,0
4,4,1.58720437e-03,0.00000000e+00,0.00000000e+00,-1.58720437e-03,0
4,5,1.04538047e-03,0.00000000e+00,0.00000000e+00,1.04538047e-03,0
4,6,4.39060709e-04,0.00000000e+00,0.00000000e+00,4.39060709e-04,0
4,7,7.52323230e-04,0.00000000e+00,0.00000000e+00,-7.52323230e-04,0
4,8,2.96194044e-04,0.00000000e+00,0.00000000e+00,2.96194044e-04,0
4,9,1.04252321e-03,0.00000000e+00,0.00000000e+00,-1.04252321e-03,0
4,10,2.50671025e-03,0.00000000e+00,0.00000000e+00,-2.50671025e-03,0
4,11,2.01327410e-03,0.00000000e+00,0.00000000e+00,2.01327410e-03,0
4,12,3.32333292e-03,0.00000000e+00,0.00000000e+00,3.32333292e-03,0
4,13,7.91422977e-04,0.00000000e+00,0.00000000e+00,7.91422977e-04,0
4,14,8.10263895e-04,0.00000000e+00,0.00000000e+00,-8.10263895e-04,0
4,15,9.58256623e-04,0.00000000e+00,0.00000000e+00,-9.58256623e-04,0
4,16,1.44730807e-04,0.00000000e+00,0.00000000e+00,1.44730807e-04,0
4,17,8.66735470e-04,0.00000000e+00,0.00000000e+00,8.66735470e-04,0
4,18,4.38489446e-04,0.00000000e+00,0.00000000e+00,-4.38489446e-04,0
4,19,1.35719198e-03,0.00000000e+00,0.00000000e+00,1.35719198e-03,0
4,20,4.65003316e-04,0.00000000e+00,0.00000000e+00,4.65003316e-04,0
4,21,6.99575301e-04,0.00000000e+00,0.00000000e+00,-6.99575301e-04,0
4,22,9.56106355e-04,0.00000000e+00,0.00000000e+00,-9.56106355e-04,0
4,23,4.76504985e-04,0.00000000e+00,0.00000000e+00,4.76504985e-04,0
4,24,6.31059684e-04,0.00000000e+00,0.00000000e+00,-6.31059684e-04,0
4,25,3.64701375e-04,0.00000000e+00,0.00000000e+00,-3.64701375e-04,0
4,26,2.18212333e-04,0.00000000e+00,0.00000000e+00,-2.18212333e-04,0
4,27,3.07731732e-04,0.00000000e+00,0.00000000e+00,-3.07731732e-04,0
4,28,1.43519537e-04,0.00000000e+00,0.00000000e+00,1.43519537e-04,0
4,29,7.95267817e-04,0.00000000e+00,0.00000000e+00,-7.95267817e-04,0
4,30,5.84318851e-04,0.00000000e+00,0.00000000e+00,-5.84318851e-04,0
4,31,8.73566782e-04,0.00000000e+00,0.00000000e+00,8.73566782e-04,0
4,32,5.09747423e-04,0.00000000e+00,0.00000000e+00,5.09747423e-04,0
4,33,8.73566782e-04,0.00000000e+00,0.00000000e+00,8.73566782e-04,0
4,34,5.84318851e-04,0.00000000e+00,0.00000000e+00,-5.84318851e-04,0
