backend_label,actual_backend,L,arm,seed,dx,dy,dz,n,tick,source_before_real,source_before_imag,expected_loss_real,expected_loss_imag,predicted_next_real,predicted_next_imag,source_after_real,source_after_imag,source_hazard,expected_removals,removal_variance,actual_removed,occupancy_before,occupancy_after,eligible_sites,mean_site_probability,min_site_probability,max_site_probability,mean_local_energy,max_local_energy,history_evaporation,history_other,history_required,history_enabled,toggles_valid,structural_valid,execution_valid
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,10,0.02193944650986273,-0.21992658809904453,0.002193944650986285,-0.021992658809903046,0.019745501858876444,-0.1979339292891415,0.019063436869045793,-0.19761353409540702,0.099999999999993663,1138.9000000000597,1025.0100000001175,1184,11389,10205,11389,0.10000000000000524,0.10000000000000001,0.10000000000000001,0,0,1184,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,11,0.019063436869045793,-0.19761353409540702,0.001906343686904581,-0.019761353409539547,0.017157093182141214,-0.17785218068586747,0.017571228142005506,-0.17862145007142716,0.099999999999994232,1020.5000000001635,918.4500000000811,984,10205,9221,10205,0.10000000000001602,0.10000000000000001,0.10000000000000001,0,0,984,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,12,0.017571228142005506,-0.17862145007142716,0.0017571228142005311,-0.017862145007141821,0.015814105327804976,-0.16075930506428535,0.015820773380312552,-0.1592645816827612,0.099999999999995023,922.10000000014111,829.89000000004978,969,9221,8252,9221,0.1000000000000153,0.10000000000000001,0.10000000000000001,0,0,969,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,13,0.015820773380312552,-0.1592645816827612,0.0015820773380312366,-0.015926458168275256,0.014238696042281316,-0.14333812351448594,0.015054490295126489,-0.14449884708270488,0.099999999999994621,825.20000000011908,742.68000000001894,779,8252,7473,8252,0.10000000000001442,0.10000000000000001,0.10000000000000001,0,0,779,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,14,0.015054490295126489,-0.14449884708270488,0.0015054490295126452,-0.014449884708269583,0.013549041265613845,-0.13004896237443531,0.013178754102136092,-0.13024559501969263,0.099999999999993788,747.30000000010136,672.56999999999414,752,7473,6721,7473,0.10000000000001356,0.10000000000000001,0.10000000000000001,0,0,752,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,15,0.013178754102136092,-0.13024559501969263,0.0013178754102135975,-0.013024559501968375,0.011860878691922495,-0.11722103551772425,0.011877536891039809,-0.11707614315992516,0.099999999999993247,672.10000000008426,604.8899999999702,692,6721,6029,6721,0.10000000000001254,0.10000000000000001,0.10000000000000001,0,0,692,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,16,0.011877536891039809,-0.11707614315992516,0.0011877536891039735,-0.011707614315991674,0.010689783201935836,-0.1053685288439335,0.010270101321427,-0.10549601607275272,0.099999999999992872,602.90000000006853,542.60999999994817,606,6029,5423,6029,0.10000000000001137,0.10000000000000001,0.10000000000000001,0,0,606,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,17,0.010270101321427,-0.10549601607275272,0.0010270101321427046,-0.010549601607274731,0.009243091189284295,-0.094946414465477982,0.0091343744461278333,-0.094694249824429547,0.099999999999994926,542.30000000005475,488.06999999994395,545,5423,4878,5423,0.10000000000001009,0.10000000000000001,0.10000000000000001,0,0,545,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,18,0.0091343744461278333,-0.094694249824429547,0.00091343744461278215,-0.0094694249824424075,0.0082209370015150513,-0.085224824841987137,0.0087486053205245926,-0.085322977289763735,0.099999999999994274,487.80000000004242,439.01999999995758,489,4878,4389,4878,0.10000000000000869,0.10000000000000001,0.10000000000000001,0,0,489,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,19,0.0087486053205245926,-0.085322977289763735,0.00087486053205245058,-0.0085322977289759919,0.007873744788472142,-0.07679067956078775,0.0080509929680039807,-0.077062407070270053,0.099999999999995565,438.9000000000313,395.00999999996981,429,4389,3960,4389,0.10000000000000712,0.10000000000000001,0.10000000000000001,0,0,429,0,1,1,1,1,1
