arm,actual_backend,L,tick,occupancy,signed_state,flux_x2,flux_y2,flux_z2,wave_x2,wave_y2,wave_z2,total_quadratic,centroid_x,displacement_x,width_x,divergence_normalized,j_dot_curl_normalized,best_shift,best_shift_overlap,right_moving_residual,wave_fraction_x,wave_fraction_y,wave_fraction_z,dispatched,toggles_valid,translating_clause,nontranslating_clause,projection_dominated_clause,execution_valid
dashboard,cpu,33,23,0,0,912.13995270397083,131.88118100388164,164.6697491192426,129.82109637185692,13.336936200156456,15.408711294985611,1367.2576266940939,10.741606966352728,2.7416069663527285,7.3009224795962613,0.051992304104720617,2.3648833769606597e-06,2,0.71987912355223915,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,24,0,0,846.3244345317745,131.48396359263859,162.22266629553786,130.3313106685969,11.484818428169232,13.682170799575236,1295.5293643162925,10.84736055916213,2.84736055916213,7.171575492630283,0.050786229189603377,3.4158726726769065e-06,2,0.72357656860962816,1,1,0,0,1,1,0,0,0,1
wave_only,cpu,33,0,0,0,0,0,157.02453196968241,157.02453196968241,0,0,314.04906393936483,8,0,2.120340095656271,0.22930403748516204,0,0,1,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,1,0,0,157.02453196968241,0,140.71738522825933,157.02453196968241,0,0.76052392357817655,455.52697309120231,8,0,2.1448370883490049,0.22573573122260365,-2.1476346865539138e-18,0,0.99996965353361644,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,2,0,0,594.72331047230921,0,113.62973014672474,140.71738522825933,0,2.676488713341826,851.7469145606351,8,0,2.1952465656417299,0.22257251095861633,-7.9252432120505168e-19,0,0.99971219232555297,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,3,0,0,1224.3907670722269,0,84.261171782435795,113.62973014672474,0,4.8907776331121555,1427.1724466344997,8,0,2.2662027322503051,0.21725906962520916,-2.852602883963431e-18,0,0.99891189848427198,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,4,0,0,1930.9001859579021,0,60.497290463931193,84.261171782435838,0,6.5264409086351867,2082.1850891129043,8.0000000000000018,1.7763568394002505e-15,2.3629901732140133,0.20971624896319302,-1.1987288369967062e-18,0,0.99702167734478608,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,5,0,0,2606.351024488431,0,46.81264163074291,60.497290463931222,0,7.1040095834139132,2720.7649661665187,8,0,2.4891282247010333,0.2003182659491545,-8.0853544918597166e-18,0,0.99322881460933465,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,6,0,0,3175.2686536854612,0,43.481545606203724,46.81264163074291,0,6.7038897997483842,3272.2667307221564,8,0,2.6468114347313749,0.18962466223996544,4.097482818534108e-18,0,0.98648688664208384,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,7,0,0,3604.0217036172889,0,47.705080527126299,43.48154560620366,0,5.7702398680864757,3700.9785696187055,8,0,2.8367620752889029,0.17838192056303359,7.489757266237096e-18,0,0.97563546976782733,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,8,0,0,3895.3287020082275,0,55.57408087536183,47.705080527126277,0,4.8054705265046662,4003.4133339372202,8,0,3.0579631399430025,0.16748056467097852,-1.1979545963044981e-17,0,0.95964597643517713,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,9,0,0,4074.339488738487,0,63.775033585302069,55.574080875361837,0,4.1380418468437341,4197.8266450459942,8,0,3.3074912175053415,0.15782390974584687,1.8642031571222068e-18,0,0.93795867820817092,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,10,0,0,4173.8613986035261,0,70.39190018965887,63.77503358530209,0,3.8437697269747968,4311.8721021054625,8,0,3.5807543464768177,0.15011062683347332,-2.1191801523683587e-18,0,0.91077902521865184,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,11,0,0,4223.8243423524636,0,74.852345466304186,70.391900189658841,0,3.8352973861413666,4372.9038853945685,8,0,3.8722896942966307,0.14462859129119687,-2.9286635301246589e-19,0,0.8791643034853136,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,12,0,0,4246.3914160878467,0,77.440534828170016,74.852345466304186,0,3.9675965756548472,4402.6518929579761,8,0,4.1767046254312117,0.14120011279660188,3.2273075008359125e-18,0,0.84481395098478662,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,13,0,0,4255.5275898971604,0,78.75363017555442,77.440534828170001,0,4.1234899683126054,4415.8452448691969,8.0000000000000018,1.7763568394002505e-15,4.4894899645590032,0.13932581148302312,-8.108838165475321e-18,0,0.80963481246832814,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,14,0,0,4258.879539806022,0,79.362997002509445,78.753630175554378,0,4.2497019701266003,4421.2458689542127,7.9999999999999991,-8.8817841970012523e-16,4.8074186003486412,0.138423320196503,3.5630319110984767e-18,0,0.77528774121248034,1,1,0,0,1,1,0,1,0,1
wave_only,cpu,33,15,0,0,4260.1659781618655,0,79.688669788406571,79.362997002509488,0,4.3340336179500207,4423.5516785707314,8,0,5.1285139603206309,0.1380019905245102,1.8819276574420054e-18,0,0.7429217073136849,1,1,0,0,1,1,0,1,0,1
