seed,tick,idx,dx,dy,dz,shell,jmag
3759153153,9,15825,-1,-2,1,outer,1.762564854586023
3759153153,9,15953,-1,2,1,outer,2.2577391251940413
3759153153,9,16977,0,2,1,outer,1.8605097160267978
3759153153,9,17873,1,-2,1,outer,2.3208274182401416
3759153153,9,17902,1,-1,-2,outer,2.6437062801429327
3759153153,9,17934,1,0,-2,outer,2.154742925565393
3759153153,9,17970,1,1,2,outer,2.062388211697978
3759153153,9,18001,1,2,1,outer,2.027600787145278
3759153153,9,18927,2,-1,-1,outer,1.8569997759859607
3759153153,10,13840,-3,0,0,outer,2.3316788302208864
3759153153,11,15824,-1,-2,0,outer,2.5495377390661806
3759153153,11,15952,-1,2,0,outer,2.464108492415742
3759153153,11,18000,1,2,0,outer,1.7629691025104375
3759153153,12,13873,-3,1,1,outer,1.7915503064966722
3759153153,12,14833,-2,-1,1,outer,1.8943890475307001
3759153153,12,15854,-1,-1,-2,outer,1.8694575102373499
3759153153,12,15858,-1,-1,2,outer,1.6707278736035311
3759153153,12,15918,-1,1,-2,outer,2.083091035195639
3759153153,12,18928,2,-1,0,outer,2.497288851429919
3759153153,12,18961,2,0,1,outer,2.532622714074285
3759153153,12,18992,2,1,0,outer,2.4223952632011714
3759153153,12,18993,2,1,1,outer,1.6383039150032968
3759153153,12,19984,3,0,0,outer,1.6504991393316462
3759153153,13,14800,-2,-2,0,outer,1.6666645689063375
3759153153,13,14862,-2,0,-2,outer,1.798919786672236
3759153153,14,14865,-2,0,1,outer,2.1459055258360973
3759153153,14,17906,1,-1,2,outer,1.851968973370164
3759153153,14,17966,1,1,-2,outer,1.9707508021285949
3759153153,14,19951,3,-1,-1,outer,1.773055427295334
3759153153,15,15890,-1,0,2,outer,2.577392867173863
3759153153,16,13807,-3,-1,-1,outer,2.294532534858599
3759153153,16,13871,-3,1,-1,outer,2.3935183558129207
3759153153,16,14928,-2,2,0,outer,2.42528419234262
3759153153,16,18896,2,-2,0,outer,1.693564739460948
3759153153,16,18929,2,-1,1,outer,2.1640519325172223
3759153153,17,14927,-2,2,-1,outer,1.914870870815391
3759153153,17,14929,-2,2,1,outer,1.7340405650144273
3759153153,17,15922,-1,1,2,outer,2.0132274568047794
3759153153,17,18994,2,1,2,outer,1.8142784944343504
3759153153,18,14866,-2,0,2,outer,2.3943344898118886
3759153153,18,16882,0,-1,2,outer,2.2118237922136426
3759153153,18,18958,2,0,-2,outer,2.6329003234894155
3759153153,18,18962,2,0,2,outer,2.449321342899675
3759153153,19,17999,1,2,-1,outer,2.243111407561708
3759153153,20,16846,0,-2,-2,outer,2.004140113769479
3759153153,20,16850,0,-2,2,outer,1.9643081306782801
3759153153,20,16974,0,2,-2,outer,2.042724282525818
3759153153,20,16978,0,2,2,outer,2.075580156267176
3759153153,20,19024,2,2,0,outer,2.0922880825292456
3759153153,21,13839,-3,0,-1,outer,1.7090842889062967
3759153153,21,14799,-2,-2,-1,outer,1.946661421964246
3759153153,21,14830,-2,-1,-2,outer,2.1006176048715557
3759153153,21,14898,-2,1,2,outer,2.168505559298555
3759153153,21,20017,3,1,1,outer,1.6743459310547713
3759153153,22,14894,-2,1,-2,outer,2.032061349492283
3759153153,23,19026,2,2,2,outer,1.9311288239027051
3759153153,23,20015,3,1,-1,outer,1.6926540918845137
3759153153,24,18895,2,-2,-1,outer,1.8022164349874736
3759153153,24,18926,2,-1,-2,outer,1.8663538198812184
3759153153,25,13838,-3,0,-2,outer,1.6335612341764272
3759153153,26,13841,-3,0,1,outer,1.8070915875167997
3759153153,27,13904,-3,2,0,outer,2.018182107981531
3759153153,30,13936,-3,3,0,outer,1.6475835246625259
3759153153,30,19025,2,2,1,outer,1.6565911269983278
3759153153,33,18002,1,2,2,outer,1.6598538191067116
3759153153,34,12816,-4,0,0,outer,2.2713237972457936
3759153153,34,14960,-2,3,0,outer,1.774275228649005
3759153153,36,15793,-1,-3,1,outer,1.613854319979543
3759153153,36,15985,-1,3,1,outer,1.8388462199944675
3759153153,36,17901,1,-1,-3,outer,1.7330554513803706
3759153153,36,17965,1,1,-3,outer,1.945855138286101
3759153153,36,18031,1,3,-1,outer,1.8570437011169387
3759153153,38,15791,-1,-3,-1,outer,1.8466261886283482
3759153153,38,15917,-1,1,-3,outer,1.8278474889686964
3759153153,38,18930,2,-1,2,outer,1.7834452510130616
3759153153,39,16816,0,-3,0,outer,1.6904323301318585
3759153153,40,17839,1,-3,-1,outer,1.6259378917350504
3759153153,41,13809,-3,-1,1,outer,1.9418451508008412
3759153153,43,15853,-1,-1,-3,outer,1.666561741095114
3759153153,43,17874,1,-2,2,outer,1.6454583846964521
3759153153,43,18897,2,-2,1,outer,1.805986086559235
3759153153,43,19023,2,2,-1,outer,1.7505250117366493
3759153153,45,12849,-4,1,1,outer,1.7037186441154804
3759153153,45,15983,-1,3,-1,outer,2.019312458161487
3759153153,45,17907,1,-1,3,outer,2.066423511341484
3759153153,45,17971,1,1,3,outer,2.1132861067244555
3759153153,46,13842,-3,0,2,outer,1.6341758222598728
3759153153,47,15859,-1,-1,3,outer,1.9960586095633595
3759153153,47,15923,-1,1,3,outer,2.0483201220996903
3759153153,48,13843,-3,0,3,outer,1.8225691288952628
3759153153,48,18990,2,1,-2,outer,1.8816129490913904
3759153154,1,15856,-1,-1,0,FCC,3.4032599999999995
3759153154,1,15887,-1,0,-1,FCC,3.4032599999999995
3759153154,1,15888,-1,0,0,SC,6.806519999999999
3759153154,1,15889,-1,0,1,FCC,3.4032599999999995
3759153154,1,15920,-1,1,0,FCC,3.4032599999999995
3759153154,1,16879,0,-1,-1,FCC,3.4032599999999995
3759153154,1,16880,0,-1,0,SC,6.806519999999999
3759153154,1,16881,0,-1,1,FCC,3.4032599999999995
3759153154,1,16911,0,0,-1,SC,6.806519999999999
3759153154,1,16912,0,0,0,center,20.419559999999997
3759153154,1,16913,0,0,1,SC,6.806519999999999
3759153154,1,16943,0,1,-1,FCC,3.4032599999999995
3759153154,1,16944,0,1,0,SC,6.806519999999999
3759153154,1,16945,0,1,1,FCC,3.4032599999999995
3759153154,1,17904,1,-1,0,FCC,3.4032599999999995
3759153154,1,17935,1,0,-1,FCC,3.4032599999999995
3759153154,1,17936,1,0,0,SC,6.806519999999999
3759153154,1,17937,1,0,1,FCC,3.4032599999999995
3759153154,1,17968,1,1,0,FCC,3.4032599999999995
3759153154,2,18960,2,0,0,SC2,1.6543355026423978
3759153154,3,14864,-2,0,0,SC2,3.6337376207022247
3759153154,3,15855,-1,-1,-1,BCC,2.372907482237402
3759153154,3,15857,-1,-1,1,BCC,2.372907482237402
3759153154,3,15919,-1,1,-1,BCC,2.372907482237403
3759153154,3,15921,-1,1,1,BCC,2.372907482237403
3759153154,3,17903,1,-1,-1,BCC,2.008154285581412
3759153154,3,17967,1,1,-1,BCC,2.0081542855814116
3759153154,3,17969,1,1,1,BCC,2.0081542855814116
3759153154,5,16910,0,0,-2,SC2,2.6595621720699967
3759153154,5,16914,0,0,2,SC2,2.608037548631257
3759153154,5,16976,0,2,0,SC2,2.6595621720699962
3759153154,5,17905,1,-1,1,BCC,4.914550283803974
3759153154,6,15824,-1,-2,0,outer,2.091263466048999
3759153154,6,15825,-1,-2,1,outer,1.7028695841809987
3759153154,6,15886,-1,0,-2,outer,2.0840755782455758
3759153154,6,16847,0,-2,-1,outer,2.0667669614318434
3759153154,6,16878,0,-1,-2,outer,1.9761158696604568
3759153154,6,16882,0,-1,2,outer,1.9697938811666074
3759153154,6,16942,0,1,-2,outer,1.9862310412451
