ftd_id,axis,resolution,phase_index,phase,initializer_gate,common_gate,inward_impulse,separation_decrease,matter_parallel,pseudomomentum_parallel,matter_norm,pseudomomentum_norm
FTD-0603,1,16,6,0.375,7.6324038235375813e-14,7.6324038235375813e-14,0.0005050418957354355,0.00032942321923368212,7.5497959899043768e-05,7.5497959899043768e-05,0.00015663342044469142,0.00015663342044469142
FTD-0603,1,16,7,0.4375,7.5635444371598679e-14,7.5634594073892281e-14,0.00053508207855681826,0.00034901708509860185,1.1781038203944987e-05,1.1781038203944987e-05,0.00011040241937140134,0.00011040241937140134
FTD-0603,1,16,8,0.5,7.3485976418569132e-14,7.3485976418569132e-14,0.00054704185863095828,0.0003568176028867498,-1.3359152500906927e-05,-1.3359152500906927e-05,7.7430936179032647e-05,7.7430936179032647e-05
FTD-0603,1,16,9,0.5625,7.4192092849084326e-14,7.4191737822748571e-14,0.00054082048475314107,0.00035275970559123238,-2.947599604250352e-05,-2.947599604250352e-05,5.1208731236640881e-05,5.1208731236640881e-05
FTD-0603,1,16,10,0.625,7.5761499938181709e-14,7.5761499938181709e-14,0.00051679868727543769,0.00033709150455063508,-6.613039592348282e-05,-6.613039592348282e-05,6.7379543678036435e-05,6.7379543678036435e-05
FTD-0603,1,16,11,0.6875,7.5666090147002985e-14,7.5666090147002985e-14,0.00047583845591758203,0.0003103741519048242,-0.00015287213188022736,-0.00015287213188022736,0.0001534589567534813,0.0001534589567534813
FTD-0603,1,16,12,0.75,7.3978815747831047e-14,7.39783126250948e-14,0.0004229452551594541,0.00027587087079528061,-0.00029064075293218979,-0.00029064075293218979,0.00029132182089836641,0.00029132182089836641
FTD-0603,1,16,13,0.8125,7.110949286803119e-14,7.11080500037653e-14,0.00038084023746096497,0.00024840269745762811,-0.00033425748266024973,-0.00033425748266024973,0.00033451256919833595,0.00033451256919833595
FTD-0603,1,16,14,0.875,7.03040051371902e-14,7.0303571991781055e-14,0.00035167738894452329,0.00022937622102059407,-0.00028400951567071966,-0.00028400951567071966,0.00028419058817127105,0.00028419058817127105
FTD-0603,1,16,15,0.9375,6.846172934116268e-14,6.846172934116268e-14,0.00033414212306905088,0.00021793512412404681,-0.00016949238456256461,-0.00016949238456256461,0.00017299813382173597,0.00017299813382173597
FTD-0603,2,16,0,0,6.7960688104637411e-14,6.7959526894867395e-14,0.00032738049650214793,0.00021352315587197523,3.9319952582457258e-05,3.9319952582457258e-05,6.7816324166733634e-05,6.7816324166733634e-05
FTD-0603,2,16,1,0.0625,6.8042251520628039e-14,6.8042251520628039e-14,0.00031361360424153476,0.00020454833444993881,0.00012428220426342765,0.00012428220426342765,0.00013025739022822172,0.00013025739022822172
FTD-0603,2,16,2,0.125,6.7175290244598844e-14,6.7172938218729161e-14,0.00028582328666279923,0.00018642942000379747,0.00013189445867050991,0.00013189445867050991,0.00013516382116546971,0.00013516382116546971
FTD-0603,2,16,3,0.1875,6.6782083335548137e-14,6.6782408596199883e-14,0.00024436199301054246,0.00015939151044808142,7.5364686077516866e-06,7.5364686077516866e-06,2.8192110645358625e-05,2.8192110645358625e-05
FTD-0603,2,16,4,0.25,6.9714633371686929e-14,6.9714633371686929e-14,0.00019433098011444695,0.00012675551793606132,-0.00022752127455210716,-0.00022752127455210716,0.00022913865715048536,0.00022913865715048536
FTD-0603,2,16,5,0.3125,7.1779931525814357e-14,7.1779659039511445e-14,0.00015553131505301941,0.00010143835667353329,-0.00030428323893840603,-0.00030428323893840603,0.00030569086947200693,0.00030569086947200693
FTD-0603,2,16,6,0.375,7.3187549770592497e-14,7.3187549770592497e-14,0.00012976947296405877,8.4624646726538799e-05,-0.00024139463131175149,-0.00024139463131175149,0.00024436506110347858,0.00024436506110347858
FTD-0603,2,16,7,0.4375,7.382983113757291e-14,7.3829885347681534e-14,0.00011675676571726339,7.613046614984853e-05,-9.3534293048789922e-05,-9.3534293048789922e-05,0.00010770635994307162,0.00010770635994307162
FTD-0603,2,16,8,0.5,7.3754375279713305e-14,7.3729217175966255e-14,0.00011632338535617226,7.5847333899758951e-05,8.4539054032100095e-05,8.4539054032100095e-05,0.00011107583428802776,0.00011107583428802776
FTD-0603,2,16,9,0.5625,7.3173300236439124e-14,7.3166434933283342e-14,0.00012841852469593941,8.3742268706110679e-05,0.00023803913256692933,0.00023803913256692933,0.00025464032694667355,0.00025464032694667355
FTD-0603,2,16,10,0.625,7.1906022802714631e-14,7.1906022802714631e-14,0.0001531103732611958,9.9857777583700624e-05,0.00031220445100444387,0.00031220445100444387,0.00032958264291907288,0.00032958264291907288
FTD-0603,2,16,11,0.6875,7.00160415756379e-14,7.0016116114537258e-14,0.00019058599898640527,0.00012431178110361429,0.00025235059957678545,0.00025235059957678545,0.00027727201518270542,0.00027727201518270542
