# L=64 A=14.0000 dir=axial thermostat=on coupling=on gamma=0.0200 T=0.00500 seed=0xE0102000 backend=cpu
tick,manifested_count,cluster_size,positive_count,negative_count,genesis_events,evap_events
191,14,14,10,4,0,0
192,14,14,10,4,0,0
193,14,14,10,4,0,0
194,14,14,10,4,0,0
195,14,14,10,4,0,0
196,14,14,10,4,0,0
197,14,14,10,4,0,0
198,14,14,10,4,0,0
199,14,14,10,4,0,0
200,14,14,10,4,0,0
201,14,14,10,4,0,0
202,14,14,10,4,0,0
203,14,14,10,4,0,0
204,14,14,10,4,0,0
205,14,14,10,4,0,0
206,14,14,10,4,0,0
207,14,14,10,4,0,0
208,14,14,10,4,0,0
209,14,14,10,4,0,0
210,14,14,10,4,0,0
211,14,14,10,4,0,0
212,14,14,10,4,0,0
213,14,14,10,4,0,0
214,14,14,10,4,0,0
215,14,14,10,4,0,0
216,14,14,10,4,0,0
217,14,14,10,4,0,0
218,14,14,10,4,0,0
219,14,14,10,4,0,0
220,14,14,10,4,0,0
221,14,14,10,4,0,0
222,14,14,10,4,0,0
223,14,14,10,4,0,0
224,14,14,10,4,0,0
225,14,14,10,4,0,0
226,14,14,10,4,0,0
227,14,14,10,4,0,0
228,14,14,10,4,0,0
229,14,14,10,4,0,0
230,14,14,10,4,0,0
231,14,14,10,4,0,0
232,14,14,10,4,0,0
233,14,14,10,4,0,0
234,14,14,10,4,0,0
235,14,14,10,4,0,0
236,14,14,10,4,0,0
237,14,14,10,4,0,0
238,14,14,10,4,0,0
239,14,14,10,4,0,0
240,14,14,10,4,0,0
241,14,14,10,4,0,0
242,14,14,10,4,0,0
243,14,14,10,4,0,0
244,14,14,10,4,0,0
245,14,14,10,4,0,0
246,14,14,10,4,0,0
247,14,14,10,4,0,0
248,14,14,10,4,0,0
249,14,14,10,4,0,0
250,14,14,10,4,0,0
251,14,14,10,4,0,0
252,14,14,10,4,0,0
253,14,14,10,4,0,0
254,14,14,10,4,0,0
255,14,14,10,4,0,0
256,14,14,10,4,0,0
257,14,14,10,4,0,0
258,14,14,10,4,0,0
259,14,14,10,4,0,0
260,14,14,10,4,0,0
261,14,14,10,4,0,0
262,14,14,10,4,0,0
263,14,14,10,4,0,0
264,14,14,10,4,0,0
265,14,14,10,4,0,0
266,14,14,10,4,0,0
267,14,14,10,4,0,0
268,14,14,10,4,0,0
269,14,14,10,4,0,0
270,14,14,10,4,0,0
271,14,14,10,4,0,0
272,14,14,10,4,0,0
273,14,14,10,4,0,0
274,14,14,10,4,0,0
275,14,14,10,4,0,0
276,14,14,10,4,0,0
277,14,14,10,4,0,0
278,14,14,10,4,0,0
279,14,14,10,4,0,0
280,14,14,10,4,0,0
281,14,14,10,4,0,0
282,14,14,10,4,0,0
283,14,14,10,4,0,0
284,14,14,10,4,0,0
285,14,14,10,4,0,0
286,14,14,10,4,0,0
287,14,14,10,4,0,0
288,14,14,10,4,0,0
289,14,14,10,4,0,0
290,14,14,10,4,0,0
291,14,14,10,4,0,0
292,14,14,10,4,0,0
293,14,14,10,4,0,0
294,14,14,10,4,0,0
295,14,14,10,4,0,0
296,14,14,10,4,0,0
297,14,14,10,4,0,0
298,14,14,10,4,0,0
299,14,14,10,4,0,0
