label,A_form,B_form,seed_idx,converged,n_steps,d_BCC,d_axis,v_inf_x,v_inf_y,v_inf_z,final_step_norm
control_Brandom,A1_Gstar_powers,B_random_00,3,1,29,7.077683e-01,2.331347e-01,-0.1444047839,-0.1809986636,0.9728241065,3.821632e-13
control_Brandom,A1_Gstar_powers,B_random_00,4,1,29,7.077683e-01,2.331347e-01,-0.1444047839,-0.1809986636,0.9728241065,7.744793e-13
control_Brandom,A1_Gstar_powers,B_random_01,0,1,27,8.350836e-01,1.295155e-01,0.1290272506,0.0074751559,0.9916128734,4.478717e-13
control_Brandom,A1_Gstar_powers,B_random_01,1,1,27,8.350836e-01,1.295155e-01,-0.1290272506,-0.0074751559,-0.9916128734,6.603950e-13
control_Brandom,A1_Gstar_powers,B_random_01,2,1,29,8.350836e-01,1.295155e-01,0.1290272506,0.0074751559,0.9916128734,5.339017e-13
control_Brandom,A1_Gstar_powers,B_random_01,3,1,27,8.350836e-01,1.295155e-01,0.1290272506,0.0074751559,0.9916128734,4.346944e-13
control_Brandom,A1_Gstar_powers,B_random_01,4,1,28,8.350836e-01,1.295155e-01,0.1290272506,0.0074751559,0.9916128734,4.386904e-13
control_Brandom,A1_Gstar_powers,B_random_02,0,1,28,8.125168e-01,1.765984e-01,0.0000000000,-0.1759085594,0.9844065109,7.866243e-13
control_Brandom,A1_Gstar_powers,B_random_02,1,1,28,8.125168e-01,1.765984e-01,0.0000000000,0.1759085594,-0.9844065109,7.457295e-13
control_Brandom,A1_Gstar_powers,B_random_02,2,1,30,8.125168e-01,1.765984e-01,0.0000000000,0.1759085594,-0.9844065109,3.587730e-13
control_Brandom,A1_Gstar_powers,B_random_02,3,1,28,8.125168e-01,1.765984e-01,-0.0000000000,-0.1759085594,0.9844065109,6.374222e-13
control_Brandom,A1_Gstar_powers,B_random_02,4,1,28,8.125168e-01,1.765984e-01,0.0000000000,-0.1759085594,0.9844065109,9.985314e-13
control_Brandom,A1_Gstar_powers,B_random_03,0,1,28,7.286188e-01,2.110619e-01,0.1290206644,-0.1655435533,0.9777264444,4.810380e-13
control_Brandom,A1_Gstar_powers,B_random_03,1,1,28,7.286188e-01,2.110619e-01,-0.1290206644,0.1655435533,-0.9777264444,4.668539e-13
control_Brandom,A1_Gstar_powers,B_random_03,2,1,29,7.286188e-01,2.110619e-01,-0.1290206644,0.1655435533,-0.9777264444,7.662527e-13
control_Brandom,A1_Gstar_powers,B_random_03,3,1,27,7.286188e-01,2.110619e-01,0.1290206644,-0.1655435533,0.9777264444,9.947064e-13
control_Brandom,A1_Gstar_powers,B_random_03,4,1,28,7.286188e-01,2.110619e-01,0.1290206644,-0.1655435533,0.9777264444,7.069376e-13
control_Brandom,A1_Gstar_powers,B_random_04,0,1,26,7.312280e-01,2.126081e-01,0.1127952004,-0.1787977996,0.9773988897,4.871368e-13
control_Brandom,A1_Gstar_powers,B_random_04,1,1,26,7.312280e-01,2.126081e-01,-0.1127952004,0.1787977996,-0.9773988897,6.941980e-13
control_Brandom,A1_Gstar_powers,B_random_04,2,1,28,7.312280e-01,2.126081e-01,-0.1127952004,0.1787977996,-0.9773988897,6.615616e-13
control_Brandom,A1_Gstar_powers,B_random_04,3,1,26,7.312280e-01,2.126081e-01,0.1127952004,-0.1787977996,0.9773988897,5.789258e-13
control_Brandom,A1_Gstar_powers,B_random_04,4,1,27,7.312280e-01,2.126081e-01,0.1127952004,-0.1787977996,0.9773988897,3.225356e-13
control_Brandom,A1_Gstar_powers,B_random_05,0,1,28,7.315904e-01,2.113390e-01,0.1149016543,0.1759632190,0.9776679167,6.967136e-13
