backend_label,actual_backend,L,profile,arm,seed,dx,dy,dz,n,tick,source_real,source_imag,source_abs,div_real,div_imag,div_abs,occupancy,global_charge,removed_since_last,cumulative_removed,history_evaporation,history_other,history_required,history_enabled,toggles_valid,event_valid,source_valid,field_valid,execution_valid
wsl2_cuda,gpu,64,infrared,coupled,1,1,0,0,1,11,0.012242581500554194,-0.26047057960076914,0.26075813245104806,0.0012018831934881532,-0.024948726881708329,0.024977659943014378,125977,-83,4978,136167,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,1,1,0,0,1,12,0.011608636382453005,-0.24594440577311408,0.24621821859836082,0.0013759361090026402,-0.028585550168484096,0.028618645645994124,121541,-39,4436,140603,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,1,1,0,0,1,13,0.011140846782641798,-0.23302092039549133,0.23328709310417542,0.0015550992769285308,-0.032332456266997399,0.03236983259175745,117678,162,3863,144466,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,1,1,0,0,1,14,0.010640881234755702,-0.22212044504694017,0.22237517950819724,0.0017384136339039921,-0.036166810565618476,0.036208566230270363,114462,158,3216,147682,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,1,1,0,0,1,15,0.010237119217440371,-0.21223343742272108,0.21248018865328633,0.0019248803835541051,-0.040067358021137832,0.040113568069732083,111586,134,2876,150558,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,1,1,0,0,1,16,0.009842970208432604,-0.20366025786440572,0.20389797619378258,0.0021135695644026245,-0.044013462855590678,0.044064181472529697,109128,156,2458,153016,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,0,0.031250000000000007,-0.63610836328225195,0.63687550772315416,0,0,0,262144,0,0,0,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,1,0.028286309249231343,-0.57315566074990176,0.57385322752477363,2.5647010037551834e-05,-0.00052205688249716748,0.00052268648125480311,236624,-120,25520,25520,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,2,0.025422959103177486,-0.5187705898201953,0.51939315716704926,7.4426384731235946e-05,-0.0015128291947718799,0.0015146588590498841,215482,-54,21142,46662,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,3,0.023238284724806286,-0.47332842963126198,0.47389853362734485,0.00014383156956174361,-0.0029245023144419198,0.0029280371082994732,198444,-116,17038,63700,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,4,0.021247486545271321,-0.43363662241550488,0.43415685642912361,0.00023184678953616525,-0.0047152499363306653,0.0047209463983278362,184004,-68,14440,78140,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,5,0.01981586465728382,-0.39908405717125661,0.39957571645482487,0.0003365556430917689,-0.0068467481965657963,0.0068550149940079562,171727,-223,12277,90417,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,6,0.01804592802225111,-0.36779365524103397,0.3682361040877779,0.00045644705745894344,-0.0092837971577286477,0.0092950112201176729,160865,-369,10862,101279,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,7,0.016261707180415232,-0.3409089167993779,0.34129654653064795,0.00058968356470652863,-0.01199289328050202,0.012007381727254093,151779,-493,9086,110365,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,8,0.015089555519858376,-0.31689322913112583,0.31725228660316873,0.00073437313361318364,-0.014943275451671293,0.014961309605909997,143832,-572,7947,118312,0,0,0,0,1,1,1,1,1
