arm,L,amplitude,seed,stable,dynamically_active,mechanically_eligible,genesis_events,evaporation_events,movement_events,annihilation_events,mean_area_coefficient,mean_laplace_coefficient,mean_interface_gradient_fraction,finite
reaction_dispersal,32,40,3759153154,1,1,0,0,28,0,0,4.6363004654127673,-0.59358047025145144,0.031146574833707572,1
reaction_dispersal,32,40,3759153155,1,1,0,0,31,0,0,4.5177094952066641,-0.26967205647656062,0.028076714666273622,1
thermal_dispersal,24,12,3759153152,1,1,0,0,0,0,0,1.9129311827723894,-0.17212421272680536,0.0035415258392739925,1
thermal_dispersal,24,12,3759153153,1,1,0,0,0,0,0,1.7099759466766968,-0.14800366844190424,0.002577598680006862,1
thermal_dispersal,24,12,3759153154,1,1,0,0,0,0,0,1.8171205928321399,-0.20991943683948988,0.0030781855221613873,1
thermal_dispersal,24,12,3759153155,1,1,0,0,0,0,0,1.8171205928321399,-0.069928047012262781,0.0026204239902356003,1
thermal_dispersal,24,20,3759153152,1,1,0,0,0,0,0,2.6684016487219453,-0.21630242138896172,0.0079895566722638714,1
thermal_dispersal,24,20,3759153153,1,1,0,0,0,0,0,2.8438669798515654,-0.34518231801852872,0.0092889270683795353,1
thermal_dispersal,24,20,3759153154,1,1,0,0,2,0,0,2.7946388874299952,-0.24327326004086744,0.0093873071802674617,1
thermal_dispersal,24,20,3759153155,1,1,0,0,0,0,0,2.924017738212866,-0.43217995050702657,0.010341839378340526,1
thermal_dispersal,24,40,3759153152,1,1,0,0,9,0,0,3.9861082210481631,-0.2937381229679415,0.022948089643688638,1
thermal_dispersal,24,40,3759153153,1,1,0,0,17,0,0,3.7905022892895612,-0.23291117969876418,0.023765791762585073,1
thermal_dispersal,24,40,3759153154,1,1,0,0,20,0,0,3.9001842405169227,-0.29070186372911971,0.025512055916875272,1
thermal_dispersal,24,40,3759153155,1,1,0,0,15,0,0,3.7724974607827235,-0.20991327714264293,0.022392571344491654,1
thermal_dispersal,32,12,3759153152,1,1,0,0,0,0,0,2.0000000000000004,-0.13053570771850756,0.001476189039571885,1
thermal_dispersal,32,12,3759153153,1,1,0,0,0,0,0,2.0000000000000004,-0.13641577623127835,0.0014495962335505919,1
thermal_dispersal,32,12,3759153154,1,1,0,0,0,0,0,1.8171205928321399,-0.067482907161947756,0.0010697251376379955,1
thermal_dispersal,32,12,3759153155,1,1,0,0,0,0,0,1.7099759466766968,-0.11493202637618578,0.0010341510355354245,1
thermal_dispersal,32,20,3759153152,1,1,0,0,0,0,0,2.884499140614817,-0.33945523015137979,0.0038685856113287731,1
thermal_dispersal,32,20,3759153153,1,1,0,0,0,0,0,2.8020393306553868,-0.29572669176010913,0.0038206477333137603,1
thermal_dispersal,32,20,3759153154,1,1,0,0,0,0,0,2.8438669798515654,-0.40706632230018763,0.0037717005090708486,1
thermal_dispersal,32,20,3759153155,1,1,0,0,2,0,0,2.8639974663723238,-0.384413602385899,0.0040362324870093398,1
thermal_dispersal,32,40,3759153152,1,1,0,0,15,0,0,3.8047470029953097,-0.34692637649310437,0.0088399158850645792,1
thermal_dispersal,32,40,3759153153,1,1,0,0,11,0,0,3.9527942019394864,-0.26963554221096847,0.0092350395755433166,1
thermal_dispersal,32,40,3759153154,1,1,0,0,6,0,0,4.1015401309505961,-0.33245173785988341,0.0096458528029421692,1
thermal_dispersal,32,40,3759153155,1,1,0,0,7,0,0,3.9789853650079849,-0.27059054566877139,0.0094010475687596618,1
mobile_dispersal,24,12,3759153152,0,0,0,0,0,15,1,1.0866403499649577,-0.034384374034906379,0.003693945939759016,1
mobile_dispersal,24,12,3759153153,0,0,0,0,1,16,0,1.2166008749123944,-0.041098030331397875,0.0026068096046396563,1
mobile_dispersal,24,12,3759153154,0,0,0,0,0,14,1,1.1299605249474367,-0.038394972962919993,0.0056891364002908049,1
mobile_dispersal,24,12,3759153155,0,0,0,0,1,8,0,1.0866403499649577,-0.036501111811341837,0.0032087222609117724,1
mobile_dispersal,24,20,3759153152,0,0,0,0,1,25,0,1.1603486116828592,-0.055598975830538043,0.0054541961396069915,1
mobile_dispersal,24,20,3759153153,0,0,0,0,1,31,0,1.043320174982479,-0.039816586274517438,0.0017685475302768839,1
mobile_dispersal,24,20,3759153154,0,0,0,0,0,20,0,1.0866403499649577,-0.050826406179634687,0.0017409370132442389,1
mobile_dispersal,24,20,3759153155,0,0,0,0,0,28,0,1.043320174982479,-0.049525156766949234,0.0026636832958956019,1
mobile_dispersal,24,40,3759153152,0,0,0,0,0,87,2,1.6602114677641306,-0.076360414616750555,0.0063356797550498797,1
mobile_dispersal,24,40,3759153153,0,0,0,0,0,60,2,1.3448891369758502,-0.056938389714426135,0.0022827596186885562,1
mobile_dispersal,24,40,3759153154,0,0,0,0,1,59,3,1.5556836093739699,-0.071582850993200983,0.0064158506697842748,1
mobile_dispersal,24,40,3759153155,0,0,0,0,1,117,4,1.5628841598132113,-0.023293408934804399,0.0045471402174632226,1
mobile_dispersal,32,12,3759153152,0,0,0,0,0,19,0,1,-0.056653739809219776,0.00098350836343673808,1
mobile_dispersal,32,12,3759153153,0,0,0,0,0,15,1,1.3206972233657182,-0.037268900199420855,0.0057939652225364527,1
mobile_dispersal,32,12,3759153154,0,0,0,0,1,9,0,1.1732806999299155,-0.050954034833179333,0.0054935472283388492,1
mobile_dispersal,32,12,3759153155,0,0,0,0,0,12,0,1,-0.039073427262744667,0.0012116422494671921,1
mobile_dispersal,32,20,3759153152,0,0,0,0,0,25,0,1.1732806999299155,-0.041966077048249707,0.0020692659009399999,1
