FTD-0458 minimum-norm transaction selector v1
protocol,L,33,group_size,48,hop,+x,support,R1,amplitude,0.02,packet_direction,-1,packet_tick,8,work,0.0001,speed,0.14999999999999999,gate,1e-10
certificate,ambient_dimension,108,constraint_rank,3,nullity,105,zero_shell_dimension,104,minimum_energy,-0.004313761077087354,radius,0.092884455934105076,projected_coefficient_norm,0.10326047502272089,norm2_bound_residual,2.6020852139652106e-18,direction_residual,2.2813375984859581e-18,minimum_alternative_norm2_excess,0.0014601874203539265,alternative_count,5,pass,true
arm,index,35,dx,0,dy,1,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,1.0842021724855044e-18,minimum_impulse_residual,5.2759593972605592e-18,selected_impulse_residual,1.3985804480792984e-17,complete_energy_residual,3.1238575094738597e-17,momentum_residual,9.5113857296934374e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,36,dx,0,dy,-1,dz,0,minimum_energy_residual,0,norm2_residual,6.5052130349130266e-19,minimum_impulse_residual,7.9966876321293074e-18,selected_impulse_residual,5.5538277545509089e-18,complete_energy_residual,3.4057500743200908e-17,momentum_residual,4.3498140152321818e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,37,dx,0,dy,-1,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,4.3368086899420177e-19,minimum_impulse_residual,3.5767630739873842e-18,selected_impulse_residual,1.3985814050701444e-17,complete_energy_residual,3.2973298570715404e-17,momentum_residual,4.1815931072010559e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,38,dx,0,dy,1,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,1.3010426069826053e-18,minimum_impulse_residual,5.8190684783154086e-18,selected_impulse_residual,1.3985804422351654e-17,complete_energy_residual,3.1455415529235697e-17,momentum_residual,7.6180905772902376e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,39,dx,0,dy,1,dz,0,minimum_energy_residual,0,norm2_residual,4.3368086899420177e-19,minimum_impulse_residual,5.8192193077341174e-18,selected_impulse_residual,4.3584387926513509e-18,complete_energy_residual,3.2322777267224101e-17,momentum_residual,7.5739380496450021e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,40,dx,0,dy,0,dz,-1,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,4.3368086899420177e-19,minimum_impulse_residual,5.5539698830773777e-18,selected_impulse_residual,1.4046199006349795e-17,complete_energy_residual,4.5983724640541457e-17,momentum_residual,2.2655480398325714e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,41,dx,0,dy,0,dz,1,minimum_energy_residual,2.6020852139652106e-18,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,5.3654316370295712e-18,selected_impulse_residual,1.3986097329386741e-17,complete_energy_residual,4.2731118123084944e-17,momentum_residual,1.9217483507305566e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,42,dx,0,dy,0,dz,-1,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,5.4860742203899968e-18,selected_impulse_residual,1.3904892862126594e-17,complete_energy_residual,3.9044830736634228e-17,momentum_residual,5.4227046637069278e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,43,dx,0,dy,0,dz,1,minimum_energy_residual,2.6020852139652106e-18,norm2_residual,1.0842021724855044e-18,minimum_impulse_residual,6.3144887663129143e-18,selected_impulse_residual,1.4119627785984855e-17,complete_energy_residual,3.5792224219177715e-17,momentum_residual,1.4221761379602736e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,44,dx,0,dy,0,dz,-1,minimum_energy_residual,0,norm2_residual,6.5052130349130266e-19,minimum_impulse_residual,7.9968893970956024e-18,selected_impulse_residual,5.5539750539784235e-18,complete_energy_residual,4.8802650289003768e-17,momentum_residual,2.4364473848230998e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,45,dx,0,dy,0,dz,1,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,3.5770902211477326e-18,selected_impulse_residual,1.4119652141020657e-17,complete_energy_residual,4.3381639426576246e-17,momentum_residual,1.9119191360389874e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,46,dx,0,dy,0,dz,-1,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,4.3368086899420177e-19,minimum_impulse_residual,5.8184898903414745e-18,selected_impulse_residual,1.4081303980124594e-17,complete_energy_residual,3.7310107260657421e-17,momentum_residual,5.6379164529286809e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,47,dx,0,dy,0,dz,1,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,4.9065450803880151e-18,selected_impulse_residual,1.3985981048145134e-17,complete_energy_residual,3.5575383784680614e-17,momentum_residual,3.0381852132205521e-18,reverse_residual,9.6973990361221606e-19,pass,true
summary,group_size,48,covariance_pass_count,48,worst_work_residual,1.8973538018496328e-19,worst_minimum_energy_residual,2.6020852139652106e-18,worst_norm2_residual,1.7347234759768071e-18,worst_minimum_impulse_residual,1.04444560648754e-17,worst_selected_impulse_residual,2.097875171891172e-17,worst_complete_energy_residual,5.5741544192910997e-17,worst_momentum_residual,7.2858567812975573e-17,worst_reverse_residual,9.6973990361221606e-19,theorem_pass,true,covariance_pass,true
verdict,MINIMUM_NORM_LOCAL_SELECTOR_UNIQUE_CUBIC_COVARIANT
