ftd_id,phase_index,phase,rigid_energy,relaxed_energy,scale,stationarity,curvature,gauss_gate,common_gate,inverse,inward_impulse,separation_decrease,pseudomomentum_defect,attractive
FTD-0604,10,0.3125,0.0037944779992708047,0.0037944316474509518,0.99995605024755863,3.1867954455866428e-09,47.991520085201294,8.4481033280070505e-16,1.2861673531761042e-14,1.0136487318888024e-15,-0.00014537030559674021,-9.4856843414703462e-05,0.00045601155162323389,0
FTD-0604,11,0.34375,0.0037818470798489305,0.0037818015883504339,0.99995645987082316,8.6717742361908101e-09,47.991740698659349,8.075137780672037e-16,1.2553394196541945e-14,1.7763568394002505e-15,-0.00023473807847851404,-0.00015315274863070272,0.00035538805196345567,0
FTD-0604,12,0.375,0.0037722735474284104,0.0037722287577973677,0.99995679715625374,3.6733636965546874e-09,47.991750460815709,7.3813426934866639e-16,1.0485508945487498e-14,1.7763568394002505e-15,-0.00030825716296169908,-0.00020111037885239824,0.00026376715360629168,0
FTD-0604,13,0.40625,0.0037653649807022046,0.0037653207041328783,0.99995704536544416,9.8716607804805179e-10,47.991759381631184,7.4780528377563234e-16,1.1470764117206544e-14,1.7763568394002505e-15,-0.00036300015575922224,-0.00023682010738301784,0.00018404068993240575,0
FTD-0604,14,0.4375,0.0037608122031553581,0.0037607682609944234,0.9999572079572896,2.4735422043953292e-09,47.991768241731343,7.6528106804568969e-16,1.1220354072943861e-14,8.8817841970012523e-16,-0.00039890626623894715,-0.00026024225334975171,0.00011441907903417797,0
FTD-0604,15,0.46875,0.0037584190436209717,0.0037583752639525035,0.99995728711549769,6.8705891670406406e-10,47.991777414081717,1.0547118733938987e-15,1.1839216672998587e-14,5.8348886305105104e-16,-0.00041592453112034001,-0.00027134355596203363,6.0255823695333239e-05,0
FTD-0604,16,0.5,0.0037581023362801775,0.0037580585506472174,0.9999572840922587,4.9854001135662962e-09,47.991787258637444,7.7919757608563586e-16,1.4692674160654562e-14,1.7763568394002505e-15,-0.00041401382524006798,-0.00027009718073056632,6.2504609826212704e-05,0
FTD-0604,17,0.53125,0.0037598919206621633,0.0037598479608577794,0.99995719953227247,9.7524202255505621e-09,47.991797632283834,6.7895588580157818e-16,1.2639818662216196e-14,8.8817841970012523e-16,-0.00039314287162193313,-0.00025648272571032749,0.00011899174691593644,0
FTD-0604,18,0.5625,0.0037639306416441618,0.0037638863365072632,0.99995703168477235,6.3219178156326264e-09,47.991808083992773,7.2337968948232856e-16,1.0214377087203186e-14,1.7763568394002505e-15,-0.00035329025063471234,-0.00023048622750909686,0.00019109058573131416,0
FTD-0604,19,0.59375,0.0037704743494514441,0.0037704295216027667,0.99995677869279231,6.8623709145732006e-09,47.991818084673611,7.6817507352406382e-16,8.4399718117134093e-15,1.7763568394002505e-15,-0.00029444440896091807,-0.00019210016753490322,0.00027447035880709387,0
FTD-0604,20,0.625,0.0037798918996573348,0.0037798463621093459,0.99995643797146372,4.2301448802128938e-09,47.991826671554819,7.3369219323437734e-16,1.1555182808861697e-14,9.8685607722424651e-16,-0.00021660366751829576,-0.00014132347797968237,0.00037123012402686729,0
FTD-0604,21,0.65625,0.0037925932171636156,0.0037925468225838825,0.99995602993862953,4.1913087583944625e-10,47.991554172517596,7.6207208329083128e-16,8.869315872017669e-15,4.3717195829970223e-16,-0.00012503766129671838,-8.1593661092504988e-05,0.00047402706900428755,0
FTD-0604,22,0.6875,0.0038080935906242897,0.0038080463272246981,0.99995562000012139,2.3780023089559066e-09,47.99114283055016,8.0127546467052613e-16,9.146044924017438e-15,1.7763568394002505e-15,-4.0477720972663568e-05,-2.6434110395712196e-05,0.00054400447392687859,0
FTD-0604,23,0.71875,0.0038252793438804792,0.0038252312256921274,0.99995522023468253,1.251624671960716e-09,47.990763893217263,7.4531891722369609e-16,7.5343919471448917e-15,8.8817841970012523e-16,3.519734355892745e-05,2.2929620869582834e-05,0.0005800998620805023,1
FTD-0604,24,0.75,0.0038431325604881533,0.0038430836232542713,0.99995484050892269,4.6658423652479186e-09,47.990420170770925,7.3067310285272982e-16,9.0746637634864236e-15,1.7763568394002505e-15,0.00010206463199977176,6.6547854720155897e-05,0.00058565873412300151,1
FTD-0604,25,0.78125,0.0038607483191666751,0.0038606986186401379,0.99995448968894363,1.9726408007070262e-09,47.990113853299533,7.7498771289263857e-16,7.6101776790016284e-15,1.7763568394002505e-15,0.00016019584431903561,0.00010446738976366277,0.00056419103186073336,1
FTD-0604,26,0.8125,0.0038773346937988062,0.0038772843038417911,0.99995417503077522,3.2864986773684098e-09,47.989846996450417,7.9558755416986315e-16,8.2502093264741339e-15,1.2040181724830672e-15,0.00020965724913296328,0.00013673147950754583,0.00051928154460244627,1
FTD-0604,27,0.84375,0.0038922127534307071,0.003892161763906866,0.99995390311396692,3.4928657188793007e-09,47.989621373978324,7.4804528890637378e-16,4.3431919302325261e-15,8.8817841970012523e-16,0.00025050965493527463,0.0001633798128333197,0.00045456954508656014,1
FTD-0604,28,0.875,0.0039048165622719362,0.0039047650767352377,0.99995367957233761,1.3485783670330596e-08,47.989438438714167,7.3129436534147274e-16,9.1325059493885252e-15,1.7763568394002505e-15,0.00028280838414868796,0.00018444849654652984,0.00037376808325194854,1
FTD-0604,29,0.90625,0.0039146931796954524,0.0039146413128916769,0.99995350810560657,3.4095556239455145e-09,47.98929934858586,8.1824686538668542e-16,9.3018312236764489e-15,1.7763568394002505e-15,0.00030660324990718042,0.00019997003986738093,0.00028076480304783014,1
FTD-0604,30,0.9375,0.0039215026602376192,0.0039214505354443589,0.99995339243313475,3.5794717884174428e-09,47.989205066364939,8.3479224065596081e-16,9.4783935474657133e-15,1.0131293915042947e-15,0.00032193853558597652,0.0002099733409002269,0.00018010864945382669,1
FTD-0604,31,0.96875,0.0039250180535981786,0.0039249657998370732,0.99995333462700187,1.1305409733375347e-08,47.989156268593561,8.8817841970012523e-16,7.2028429227988244e-15,1.7763568394002505e-15,0.00032885297699093187,0.00021448367488652309,8.1379546984641183e-05,1
